nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
2439,594,2022,02,013,Alaska,Aleutians East Borough,3430
3736,749,2022,02,016,Alaska,Aleutians West Census Area,5090
215850,29746,2022,02,020,Alaska,Anchorage Municipality,286983
10927,1803,2022,02,050,Alaska,Bethel Census Area,18259
609,124,2022,02,060,Alaska,Bristol Bay Borough,870
4572,972,2022,02,063,Alaska,Chugach Census Area,6899
1765,294,2022,02,066,Alaska,Copper River Census Area,2609
1213,175,2022,02,068,Alaska,Denali Borough,1575
2878,588,2022,02,070,Alaska,Dillingham Census Area,4724
72055,8990,2022,02,090,Alaska,Fairbanks North Star Borough,95202
1373,173,2022,02,100,Alaska,Haines Borough,2070
1325,270,2022,02,105,Alaska,Hoonah-Angoon Census Area,2279
23128,3228,2022,02,110,Alaska,Juneau City and Borough,31740
40543,6889,2022,02,122,Alaska,Kenai Peninsula Borough,60611
9405,1729,2022,02,130,Alaska,Ketchikan Gateway Borough,13772
8674,1883,2022,02,150,Alaska,Kodiak Island Borough,12639
4969,802,2022,02,158,Alaska,Kusilvak Census Area,8214
853,203,2022,02,164,Alaska,Lake and Peninsula Borough,1377
82483,14180,2022,02,170,Alaska,Matanuska-Susitna Borough,113472
6155,1047,2022,02,180,Alaska,Nome Census Area,9791
7507,1293,2022,02,185,Alaska,North Slope Borough,10811
4501,896,2022,02,188,Alaska,Northwest Arctic Borough,7453
2066,467,2022,02,195,Alaska,Petersburg Borough,3370
3326,787,2022,02,198,Alaska,Prince of Wales-Hyder Census Area,5650
5795,1019,2022,02,220,Alaska,Sitka City and Borough,8353
737,139,2022,02,230,Alaska,Skagway Municipality,1092
4906,941,2022,02,240,Alaska,Southeast Fairbanks Census Area,7016
1166,311,2022,02,275,Alaska,Wrangell City and Borough,2071
443,106,2022,02,282,Alaska,Yakutat City and Borough,685
2904,687,2022,02,290,Alaska,Yukon-Koyukuk Census Area,5169
