nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
37352,5596,2022,04,001,Arizona,Apache County,65533
81191,10226,2022,04,003,Arizona,Cochise County,125487
91919,14732,2022,04,005,Arizona,Coconino County,144223
29568,5294,2022,04,007,Arizona,Gila County,53922
26781,3416,2022,04,009,Arizona,Graham County,38822
7144,733,2022,04,011,Arizona,Greenlee County,9327
7581,1546,2022,04,012,Arizona,La Paz County,16535
3292529,469113,2022,04,013,Arizona,Maricopa County,4555833
125345,20576,2022,04,015,Arizona,Mohave County,220905
63731,11605,2022,04,017,Arizona,Navajo County,108800
718024,91505,2022,04,019,Arizona,Pima County,1057476
298866,45518,2022,04,021,Arizona,Pinal County,465037
30955,7736,2022,04,023,Arizona,Santa Cruz County,48680
134326,25855,2022,04,025,Arizona,Yavapai County,246230
132492,26635,2022,04,027,Arizona,Yuma County,208874
