nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
11852,1062,2022,05,001,Arkansas,Arkansas County,16498
12710,1436,2022,05,003,Arkansas,Ashley County,18348
26149,3172,2022,05,005,Arkansas,Baxter County,42485
232907,27616,2022,05,007,Arkansas,Benton County,302822
27381,2847,2022,05,009,Arkansas,Boone County,38280
7015,974,2022,05,011,Arkansas,Bradley County,10168
3122,357,2022,05,013,Arkansas,Calhoun County,4687
18696,3113,2022,05,015,Arkansas,Carroll County,28717
6074,718,2022,05,017,Arkansas,Chicot County,9834
13617,1343,2022,05,019,Arkansas,Clark County,21276
10098,1072,2022,05,021,Arkansas,Clay County,14271
16524,1830,2022,05,023,Arkansas,Cleburne County,25253
5345,485,2022,05,025,Arkansas,Cleveland County,7467
14931,1434,2022,05,027,Arkansas,Columbia County,22286
15235,1493,2022,05,029,Arkansas,Conway County,21021
84523,9322,2022,05,031,Arkansas,Craighead County,112863
45257,4656,2022,05,033,Arkansas,Crawford County,61041
34961,3603,2022,05,035,Arkansas,Crittenden County,47051
11869,1388,2022,05,037,Arkansas,Cross County,16590
3958,396,2022,05,039,Arkansas,Dallas County,6196
7450,870,2022,05,041,Arkansas,Desha County,10758
12068,1143,2022,05,043,Arkansas,Drew County,16912
97858,8032,2022,05,045,Arkansas,Faulkner County,127565
12387,1307,2022,05,047,Arkansas,Franklin County,17270
8318,850,2022,05,049,Arkansas,Fulton County,12355
66878,7458,2022,05,051,Arkansas,Garland County,99982
13666,1049,2022,05,053,Arkansas,Grant County,18129
35177,3051,2022,05,055,Arkansas,Greene County,46408
13740,1650,2022,05,057,Arkansas,Hempstead County,19481
22265,2054,2022,05,059,Arkansas,Hot Spring County,33149
9004,1046,2022,05,061,Arkansas,Howard County,12622
27444,2970,2022,05,063,Arkansas,Independence County,38254
8581,989,2022,05,065,Arkansas,Izard County,14029
10235,1032,2022,05,067,Arkansas,Jackson County,16654
42075,3536,2022,05,069,Arkansas,Jefferson County,64295
18600,2403,2022,05,071,Arkansas,Johnson County,25970
3921,527,2022,05,073,Arkansas,Lafayette County,6129
4436,501,2022,05,077,Arkansas,Lee County,8367
6430,715,2022,05,079,Arkansas,Lincoln County,12910
8451,726,2022,05,081,Arkansas,Little River County,11865
15322,1488,2022,05,083,Arkansas,Logan County,21258
58543,5507,2022,05,085,Arkansas,Lonoke County,75199
12612,1390,2022,05,087,Arkansas,Madison County,17463
11000,1221,2022,05,089,Arkansas,Marion County,17289
30628,2988,2022,05,091,Arkansas,Miller County,42608
28855,2646,2022,05,093,Arkansas,Mississippi County,38863
4301,537,2022,05,095,Arkansas,Monroe County,6568
5390,820,2022,05,097,Arkansas,Montgomery County,8543
5793,464,2022,05,099,Arkansas,Nevada County,8179
4696,471,2022,05,101,Arkansas,Newton County,7101
15522,1331,2022,05,103,Arkansas,Ouachita County,21994
7222,725,2022,05,105,Arkansas,Perry County,10073
10554,1004,2022,05,107,Arkansas,Phillips County,15350
7055,842,2022,05,109,Arkansas,Pike County,10159
16545,1677,2022,05,111,Arkansas,Poinsett County,22453
13106,1657,2022,05,113,Arkansas,Polk County,19334
45659,5665,2022,05,115,Arkansas,Pope County,64053
5485,542,2022,05,117,Arkansas,Prairie County,8077
291234,28915,2022,05,119,Arkansas,Pulaski County,399387
13531,1569,2022,05,121,Arkansas,Randolph County,18852
13178,1621,2022,05,123,Arkansas,St. Francis County,22402
94633,8474,2022,05,125,Arkansas,Saline County,127415
6946,699,2022,05,127,Arkansas,Scott County,9796
5343,542,2022,05,129,Arkansas,Searcy County,7906
94000,12075,2022,05,131,Arkansas,Sebastian County,129109
11207,2051,2022,05,133,Arkansas,Sevier County,15738
11788,1442,2022,05,135,Arkansas,Sharp County,17836
7982,1040,2022,05,137,Arkansas,Stone County,12585
27122,2632,2022,05,139,Arkansas,Union County,37813
10585,1229,2022,05,141,Arkansas,Van Buren County,16103
185680,30211,2022,05,143,Arkansas,Washington County,256682
56291,6340,2022,05,145,Arkansas,White County,77616
4074,405,2022,05,147,Arkansas,Woodruff County,6057
14409,1950,2022,05,149,Arkansas,Yell County,20091
11565,1160,2022,05,075,Arkansas,Lawrence County,16194
