nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
1294246,60917,2022,06,001,California,Alameda County,1628259
795,51,2022,06,003,California,Alpine County,1190
24730,1503,2022,06,005,California,Amador County,41493
154269,12627,2022,06,007,California,Butte County,207369
30904,2303,2022,06,009,California,Calaveras County,46556
16401,1777,2022,06,011,California,Colusa County,21909
909982,50322,2022,06,013,California,Contra Costa County,1157019
17612,1540,2022,06,015,California,Del Norte County,27112
141008,7688,2022,06,017,California,El Dorado County,192787
797815,66200,2022,06,019,California,Fresno County,1015359
21065,2123,2022,06,021,California,Glenn County,28360
98912,7395,2022,06,023,California,Humboldt County,134944
132649,12474,2022,06,025,California,Imperial County,178940
12633,1001,2022,06,027,California,Inyo County,18742
720664,60371,2022,06,029,California,Kern County,916751
111742,8791,2022,06,031,California,Kings County,152987
47734,3874,2022,06,033,California,Lake County,68172
17468,1108,2022,06,035,California,Lassen County,30020
7346512,760462,2022,06,037,California,Los Angeles County,9719765
117577,12452,2022,06,039,California,Madera County,160329
182619,9825,2022,06,041,California,Marin County,256154
11032,795,2022,06,043,California,Mariposa County,17053
60126,6918,2022,06,045,California,Mendocino County,90007
227470,21496,2022,06,047,California,Merced County,290210
5428,472,2022,06,049,California,Modoc County,8619
9376,1073,2022,06,051,California,Mono County,13002
312725,41184,2022,06,053,California,Monterey County,432884
97283,7727,2022,06,055,California,Napa County,134370
68059,4508,2022,06,057,California,Nevada County,102401
2416395,191138,2022,06,059,California,Orange County,3150372
322625,12483,2022,06,061,California,Placer County,418074
12385,816,2022,06,063,California,Plumas County,19443
1894087,172350,2022,06,065,California,Riverside County,2474241
1262047,71621,2022,06,067,California,Sacramento County,1584380
54404,3949,2022,06,069,California,San Benito County,67643
1713176,163723,2022,06,071,California,San Bernardino County,2194908
2506566,196679,2022,06,073,California,San Diego County,3277176
631075,27405,2022,06,075,California,San Francisco County,807774
624932,51714,2022,06,077,California,San Joaquin County,794293
193153,14912,2022,06,079,California,San Luis Obispo County,282046
569301,27705,2022,06,081,California,San Mateo County,728929
322688,32699,2022,06,083,California,Santa Barbara County,443915
1501504,63449,2022,06,085,California,Santa Clara County,1878335
194171,13488,2022,06,087,California,Santa Cruz County,264240
131234,10594,2022,06,089,California,Shasta County,180937
2050,139,2022,06,091,California,Sierra County,3222
28819,2561,2022,06,093,California,Siskiyou County,43786
344900,20442,2022,06,095,California,Solano County,448885
350916,25040,2022,06,097,California,Sonoma County,482669
439086,33599,2022,06,099,California,Stanislaus County,551226
74697,7166,2022,06,101,California,Sutter County,98569
47818,3734,2022,06,103,California,Tehama County,65299
10249,654,2022,06,105,California,Trinity County,15778
376250,38342,2022,06,107,California,Tulare County,477884
35062,2103,2022,06,109,California,Tuolumne County,54587
626618,58034,2022,06,111,California,Ventura County,832871
172114,10200,2022,06,113,California,Yolo County,222018
67526,4741,2022,06,115,California,Yuba County,84353
