nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
410794,52776,2022,08,001,Colorado,Adams County,527509
11715,1416,2022,08,003,Colorado,Alamosa County,16587
505186,54863,2022,08,005,Colorado,Arapahoe County,656269
8891,1078,2022,08,007,Colorado,Archuleta County,13989
2311,232,2022,08,009,Colorado,Baca County,3435
2866,246,2022,08,011,Colorado,Bent County,5439
248999,15576,2022,08,013,Colorado,Boulder County,327339
62273,2643,2022,08,014,Colorado,Broomfield County,76195
12466,1363,2022,08,015,Colorado,Chaffee County,20265
1207,120,2022,08,017,Colorado,Cheyenne County,1731
6737,487,2022,08,019,Colorado,Clear Creek County,9367
5343,533,2022,08,021,Colorado,Conejos County,7587
2242,281,2022,08,023,Colorado,Costilla County,3615
2140,210,2022,08,025,Colorado,Crowley County,5627
3228,288,2022,08,027,Colorado,Custer County,5337
19572,2672,2022,08,029,Colorado,Delta County,31560
565248,52524,2022,08,031,Colorado,Denver County,713453
1689,143,2022,08,033,Colorado,Dolores County,2460
315841,12997,2022,08,035,Colorado,Douglas County,375937
41634,5553,2022,08,037,Colorado,Eagle County,55218
21094,1630,2022,08,039,Colorado,Elbert County,27842
571962,51062,2022,08,041,Colorado,El Paso County,740596
27902,2663,2022,08,043,Colorado,Fremont County,49616
44820,7349,2022,08,045,Colorado,Garfield County,62256
4461,234,2022,08,047,Colorado,Gilpin County,5886
11207,1281,2022,08,049,Colorado,Grand County,15734
12884,957,2022,08,051,Colorado,Gunnison County,17320
447,71,2022,08,053,Colorado,Hinsdale County,771
4347,446,2022,08,055,Colorado,Huerfano County,7097
794,164,2022,08,057,Colorado,Jackson County,1314
441294,29694,2022,08,059,Colorado,Jefferson County,575811
979,69,2022,08,061,Colorado,Kiowa County,1434
4706,697,2022,08,063,Colorado,Kit Carson County,6983
5288,799,2022,08,065,Colorado,Lake County,7346
38305,4442,2022,08,067,Colorado,La Plata County,56553
275289,21445,2022,08,069,Colorado,Larimer County,367577
8989,1124,2022,08,071,Colorado,Las Animas County,14311
3375,293,2022,08,073,Colorado,Lincoln County,5510
12711,1464,2022,08,075,Colorado,Logan County,20792
109503,12062,2022,08,077,Colorado,Mesa County,158531
592,54,2022,08,079,Colorado,Mineral County,931
9708,1090,2022,08,081,Colorado,Moffat County,13205
16671,2355,2022,08,083,Colorado,Montezuma County,26467
27817,4289,2022,08,085,Colorado,Montrose County,43807
20878,3234,2022,08,087,Colorado,Morgan County,29266
12592,1397,2022,08,089,Colorado,Otero County,18311
3299,204,2022,08,091,Colorado,Ouray County,5103
12703,1005,2022,08,093,Colorado,Park County,17921
2979,438,2022,08,095,Colorado,Phillips County,4448
12211,917,2022,08,097,Colorado,Pitkin County,16847
8060,1204,2022,08,099,Colorado,Prowers County,11873
122499,10248,2022,08,101,Colorado,Pueblo County,169472
4684,490,2022,08,103,Colorado,Rio Blanco County,6549
7475,1228,2022,08,105,Colorado,Rio Grande County,11337
18361,1846,2022,08,107,Colorado,Routt County,25072
4196,591,2022,08,109,Colorado,Saguache County,6627
537,84,2022,08,111,Colorado,San Juan County,806
6094,498,2022,08,113,Colorado,San Miguel County,8008
1395,159,2022,08,115,Colorado,Sedgwick County,2286
23095,2687,2022,08,117,Colorado,Summit County,30636
17212,1166,2022,08,119,Colorado,Teller County,24860
3232,339,2022,08,121,Colorado,Washington County,4847
272285,28994,2022,08,123,Colorado,Weld County,350266
6788,1058,2022,08,125,Colorado,Yuma County,9895
