nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
199536,22545,2022,12,001,Florida,Alachua County,284041
19805,2403,2022,12,003,Florida,Baker County,27786
128621,20397,2022,12,005,Florida,Bay County,185210
17088,2431,2022,12,007,Florida,Bradford County,27296
421102,52869,2022,12,009,Florida,Brevard County,630707
1340847,228914,2022,12,011,Florida,Broward County,1946889
7984,1440,2022,12,013,Florida,Calhoun County,13465
102147,16638,2022,12,015,Florida,Charlotte County,202582
88747,13533,2022,12,017,Florida,Citrus County,162508
168335,19326,2022,12,019,Florida,Clay County,226634
213563,48733,2022,12,021,Florida,Collier County,397516
45977,7215,2022,12,023,Florida,Columbia County,71870
18732,5463,2022,12,027,Florida,DeSoto County,35320
9467,1645,2022,12,029,Florida,Dixie County,17120
735314,99579,2022,12,031,Florida,Duval County,1017011
218935,31004,2022,12,033,Florida,Escambia County,323860
76880,9943,2022,12,035,Florida,Flagler County,126758
6473,1588,2022,12,037,Florida,Franklin County,12492
27040,5314,2022,12,039,Florida,Gadsden County,43393
12120,1984,2022,12,041,Florida,Gilchrist County,19002
5446,1798,2022,12,043,Florida,Glades County,12463
8570,1409,2022,12,045,Florida,Gulf County,15299
7552,1284,2022,12,047,Florida,Hamilton County,13194
15932,3464,2022,12,049,Florida,Hardee County,25651
26135,8386,2022,12,051,Florida,Hendry County,41391
129294,21274,2022,12,053,Florida,Hernando County,206935
53339,12566,2022,12,055,Florida,Highlands County,105649
1088385,168393,2022,12,057,Florida,Hillsborough County,1513473
11928,2170,2022,12,059,Florida,Holmes County,19653
92853,15092,2022,12,061,Florida,Indian River County,167267
28045,3654,2022,12,063,Florida,Jackson County,48255
8596,1549,2022,12,065,Florida,Jefferson County,15069
4424,991,2022,12,067,Florida,Lafayette County,7777
260795,37552,2022,12,069,Florida,Lake County,410090
474126,98022,2022,12,071,Florida,Lee County,822391
209795,25074,2022,12,073,Florida,Leon County,297282
27518,5644,2022,12,075,Florida,Levy County,45253
4040,761,2022,12,077,Florida,Liberty County,7613
10507,2016,2022,12,079,Florida,Madison County,18230
255114,47698,2022,12,081,Florida,Manatee County,429169
229874,42330,2022,12,083,Florida,Marion County,396437
92596,14452,2022,12,085,Florida,Martin County,161987
1811781,346486,2022,12,086,Florida,Miami-Dade County,2673056
52138,9328,2022,12,087,Florida,Monroe County,81618
67895,6956,2022,12,089,Florida,Nassau County,97826
157403,21211,2022,12,091,Florida,Okaloosa County,216464
24477,5207,2022,12,093,Florida,Okeechobee County,40373
1058891,160598,2022,12,095,Florida,Orange County,1451761
312638,47566,2022,12,097,Florida,Osceola County,422543
933340,182292,2022,12,099,Florida,Palm Beach County,1519867
413375,58081,2022,12,101,Florida,Pasco County,609141
609108,90908,2022,12,103,Florida,Pinellas County,961792
522775,89804,2022,12,105,Florida,Polk County,788382
45474,9158,2022,12,107,Florida,Putnam County,74736
224528,19620,2022,12,109,Florida,St. Johns County,307072
228589,37518,2022,12,111,Florida,St. Lucie County,358886
146468,15661,2022,12,113,Florida,Santa Rosa County,198199
248244,38590,2022,12,115,Florida,Sarasota County,462552
352579,45832,2022,12,117,Florida,Seminole County,478623
48176,5777,2022,12,119,Florida,Sumter County,144767
27622,5134,2022,12,121,Florida,Suwannee County,45405
12912,1997,2022,12,123,Florida,Taylor County,21313
8336,992,2022,12,125,Florida,Union County,15514
365954,53635,2022,12,127,Florida,Volusia County,579665
23557,3037,2022,12,129,Florida,Wakulla County,35169
56156,8972,2022,12,131,Florida,Walton County,83404
15548,3110,2022,12,133,Florida,Washington County,25405
