nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
11701,2692,2022,13,001,Georgia,Appling County,18437
5405,1412,2022,13,003,Georgia,Atkinson County,8160
7307,1522,2022,13,005,Georgia,Bacon County,11173
1772,221,2022,13,007,Georgia,Baker County,2792
25781,4665,2022,13,009,Georgia,Baldwin County,43633
13087,2788,2022,13,011,Georgia,Banks County,19342
65356,12111,2022,13,013,Georgia,Barrow County,89245
80482,14785,2022,13,015,Georgia,Bartow County,112815
11302,1993,2022,13,017,Georgia,Ben Hill County,17057
12514,2228,2022,13,019,Georgia,Berrien County,18215
101815,19348,2022,13,021,Georgia,Bibb County,156126
8010,1128,2022,13,023,Georgia,Bleckley County,12279
12199,2668,2022,13,025,Georgia,Brantley County,18210
10409,1849,2022,13,027,Georgia,Brooks County,16284
38308,4948,2022,13,029,Georgia,Bryan County,48218
56356,9500,2022,13,031,Georgia,Bulloch County,83038
17133,2299,2022,13,033,Georgia,Burke County,24434
16819,2655,2022,13,035,Georgia,Butts County,26745
2396,437,2022,13,037,Georgia,Calhoun County,5474
40419,5747,2022,13,039,Georgia,Camden County,56971
6856,1739,2022,13,043,Georgia,Candler County,10962
89310,14324,2022,13,045,Georgia,Carroll County,124530
49081,6842,2022,13,047,Georgia,Catoosa County,68836
6795,1323,2022,13,049,Georgia,Charlton County,12788
201684,33148,2022,13,051,Georgia,Chatham County,301025
5592,484,2022,13,053,Georgia,Chattahoochee County,8746
15779,3159,2022,13,055,Georgia,Chattooga County,24962
207588,29729,2022,13,057,Georgia,Cherokee County,281194
86528,14830,2022,13,059,Georgia,Clarke County,129726
1612,268,2022,13,061,Georgia,Clay County,2853
211578,38746,2022,13,063,Georgia,Clayton County,298399
4398,998,2022,13,065,Georgia,Clinch County,6679
574188,82340,2022,13,067,Georgia,Cobb County,771840
26828,6340,2022,13,069,Georgia,Coffee County,43247
29591,7300,2022,13,071,Georgia,Colquitt County,45830
124554,14274,2022,13,073,Georgia,Columbia County,162471
11606,2450,2022,13,075,Georgia,Cook County,17409
115271,14234,2022,13,077,Georgia,Coweta County,152879
7990,1546,2022,13,079,Georgia,Crawford County,12169
12762,2109,2022,13,081,Georgia,Crisp County,19729
10418,1723,2022,13,083,Georgia,Dade County,16090
20781,3372,2022,13,085,Georgia,Dawson County,30189
19407,3148,2022,13,087,Georgia,Decatur County,29019
545101,86883,2022,13,089,Georgia,DeKalb County,761779
12093,1947,2022,13,091,Georgia,Dodge County,19873
5537,996,2022,13,093,Georgia,Dooly County,10585
53215,9977,2022,13,095,Georgia,Dougherty County,82895
108201,17769,2022,13,097,Georgia,Douglas County,147453
6879,1139,2022,13,099,Georgia,Early County,10560
2527,596,2022,13,101,Georgia,Echols County,3686
53994,6433,2022,13,103,Georgia,Effingham County,69034
12374,2805,2022,13,105,Georgia,Elbert County,19873
14563,2886,2022,13,107,Georgia,Emanuel County,22946
6654,1445,2022,13,109,Georgia,Evans County,10659
14485,3144,2022,13,111,Georgia,Fannin County,25733
88280,9549,2022,13,113,Georgia,Fayette County,121981
66056,12264,2022,13,115,Georgia,Floyd County,99437
214943,19571,2022,13,117,Georgia,Forsyth County,267312
15450,3246,2022,13,119,Georgia,Franklin County,24146
801175,96492,2022,13,121,Georgia,Fulton County,1073698
19453,4086,2022,13,123,Georgia,Gilmer County,32403
2103,277,2022,13,125,Georgia,Glascock County,2928
53740,10470,2022,13,127,Georgia,Glynn County,85145
39424,9821,2022,13,129,Georgia,Gordon County,58855
16737,3590,2022,13,131,Georgia,Grady County,25994
11802,1930,2022,13,133,Georgia,Greene County,20111
722238,130120,2022,13,135,Georgia,Gwinnett County,976173
29650,6690,2022,13,137,Georgia,Habersham County,47465
143210,33975,2022,13,139,Georgia,Hall County,212621
4291,685,2022,13,141,Georgia,Hancock County,8417
22555,3793,2022,13,143,Georgia,Haralson County,31355
26513,2628,2022,13,145,Georgia,Harris County,36257
17000,3045,2022,13,147,Georgia,Hart County,26886
8151,1398,2022,13,149,Georgia,Heard County,11716
191665,22184,2022,13,151,Georgia,Henry County,248472
128441,15907,2022,13,153,Georgia,Houston County,169775
5926,1083,2022,13,155,Georgia,Irwin County,9114
62157,9773,2022,13,157,Georgia,Jackson County,84009
11270,1814,2022,13,159,Georgia,Jasper County,15979
10078,2155,2022,13,161,Georgia,Jeff Davis County,14891
9513,2174,2022,13,163,Georgia,Jefferson County,15294
4953,854,2022,13,165,Georgia,Jenkins County,8655
4667,946,2022,13,167,Georgia,Johnson County,9211
20146,2799,2022,13,169,Georgia,Jones County,28512
13455,2001,2022,13,171,Georgia,Lamar County,19473
7035,1138,2022,13,173,Georgia,Lanier County,10177
33574,5575,2022,13,175,Georgia,Laurens County,49710
24729,3216,2022,13,177,Georgia,Lee County,33678
48965,6598,2022,13,179,Georgia,Liberty County,67919
4613,1130,2022,13,181,Georgia,Lincoln County,7859
13511,2504,2022,13,183,Georgia,Long County,18395
83233,13845,2022,13,185,Georgia,Lowndes County,119499
20882,3988,2022,13,187,Georgia,Lumpkin County,34706
14833,2210,2022,13,189,Georgia,McDuffie County,21690
6366,1304,2022,13,191,Georgia,McIntosh County,11183
6027,1442,2022,13,193,Georgia,Macon County,11777
21144,4538,2022,13,195,Georgia,Madison County,31450
4670,1017,2022,13,197,Georgia,Marion County,7436
13322,2722,2022,13,199,Georgia,Meriwether County,20890
3746,598,2022,13,201,Georgia,Miller County,5774
13292,2181,2022,13,205,Georgia,Mitchell County,21192
19832,2800,2022,13,207,Georgia,Monroe County,29469
5395,889,2022,13,209,Georgia,Montgomery County,8643
14400,2134,2022,13,211,Georgia,Morgan County,21024
27592,6123,2022,13,213,Georgia,Murray County,40410
145023,19472,2022,13,215,Georgia,Muscogee County,202432
85723,12703,2022,13,217,Georgia,Newton County,117752
33866,2717,2022,13,219,Georgia,Oconee County,43624
10405,2023,2022,13,221,Georgia,Oglethorpe County,15531
139553,17887,2022,13,223,Georgia,Paulding County,178753
18575,3399,2022,13,225,Georgia,Peach County,28486
22718,4285,2022,13,227,Georgia,Pickens County,34825
13852,2588,2022,13,229,Georgia,Pierce County,20190
14590,2126,2022,13,231,Georgia,Pike County,19955
30823,5561,2022,13,233,Georgia,Polk County,43669
