nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
398535,30599,2022,16,001,Idaho,Ada County,519004
2938,377,2022,16,003,Idaho,Adams County,4791
68222,5790,2022,16,005,Idaho,Bannock County,89625
4845,466,2022,16,007,Idaho,Bear Lake County,6730
6746,1087,2022,16,009,Idaho,Benewah County,10291
37042,4402,2022,16,011,Idaho,Bingham County,49973
16550,2813,2022,16,013,Idaho,Blaine County,24901
5441,573,2022,16,015,Idaho,Boise County,8360
33666,4195,2022,16,017,Idaho,Bonner County,51407
100782,10054,2022,16,019,Idaho,Bonneville County,129543
8796,1387,2022,16,021,Idaho,Boundary County,13272
1795,200,2022,16,023,Idaho,Butte County,2698
763,124,2022,16,025,Idaho,Camas County,1169
187157,25310,2022,16,027,Idaho,Canyon County,250892
5333,541,2022,16,029,Idaho,Caribou County,7200
18886,2709,2022,16,031,Idaho,Cassia County,25644
506,139,2022,16,033,Idaho,Clark County,810
5233,545,2022,16,035,Idaho,Clearwater County,9035
2719,395,2022,16,037,Idaho,Custer County,4518
21257,2775,2022,16,039,Idaho,Elmore County,29391
11586,1308,2022,16,041,Idaho,Franklin County,15170
9480,1467,2022,16,043,Idaho,Fremont County,14017
13905,1727,2022,16,045,Idaho,Gem County,20454
10383,2280,2022,16,047,Idaho,Gooding County,15879
10648,1375,2022,16,049,Idaho,Idaho County,17637
26494,2668,2022,16,051,Idaho,Jefferson County,33336
18106,3466,2022,16,053,Idaho,Jerome County,25244
133475,13726,2022,16,055,Idaho,Kootenai County,183290
30328,2388,2022,16,057,Idaho,Latah County,40924
4918,709,2022,16,059,Idaho,Lemhi County,8284
2388,304,2022,16,061,Idaho,Lewis County,3725
3877,633,2022,16,063,Idaho,Lincoln County,5385
34024,3072,2022,16,065,Idaho,Madison County,54958
15830,2627,2022,16,067,Idaho,Minidoka County,22208
30032,3089,2022,16,069,Idaho,Nez Perce County,42909
3394,310,2022,16,071,Idaho,Oneida County,4740
8433,1681,2022,16,073,Idaho,Owyhee County,12645
19139,2570,2022,16,075,Idaho,Payette County,26929
5682,923,2022,16,077,Idaho,Power County,8136
9513,1142,2022,16,079,Idaho,Shoshone County,13935
9196,1559,2022,16,081,Idaho,Teton County,12519
68675,8637,2022,16,083,Idaho,Twin Falls County,93821
8035,1018,2022,16,085,Idaho,Valley County,12450
7422,751,2022,16,087,Idaho,Washington County,11147
