nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
47781,2840,2022,17,001,Illinois,Adams County,64556
3400,207,2022,17,003,Illinois,Alexander County,4841
10463,721,2022,17,005,Illinois,Bond County,16536
41017,2965,2022,17,007,Illinois,Boone County,53068
3609,144,2022,17,009,Illinois,Brown County,6316
23376,1868,2022,17,011,Illinois,Bureau County,32827
3101,177,2022,17,013,Illinois,Calhoun County,4353
9798,802,2022,17,015,Illinois,Carroll County,15579
9487,807,2022,17,017,Illinois,Cass County,12638
154022,9355,2022,17,019,Illinois,Champaign County,206169
22560,1456,2022,17,021,Illinois,Christian County,33390
11361,716,2022,17,023,Illinois,Clark County,15160
9610,599,2022,17,025,Illinois,Clay County,13077
27123,1644,2022,17,027,Illinois,Clinton County,36937
33695,2371,2022,17,029,Illinois,Coles County,46346
3784358,407619,2022,17,031,Illinois,Cook County,5111566
12880,811,2022,17,033,Illinois,Crawford County,18495
7735,411,2022,17,035,Illinois,Cumberland County,10308
77005,5256,2022,17,037,Illinois,DeKalb County,100223
11477,695,2022,17,039,Illinois,De Witt County,15365
14074,1848,2022,17,041,Illinois,Douglas County,19667
705395,44199,2022,17,043,Illinois,DuPage County,921664
11677,774,2022,17,045,Illinois,Edgar County,16385
4426,296,2022,17,047,Illinois,Edwards County,6058
26481,1349,2022,17,049,Illinois,Effingham County,34300
13868,1138,2022,17,051,Illinois,Fayette County,21270
9950,705,2022,17,053,Illinois,Ford County,13256
27075,2273,2022,17,055,Illinois,Franklin County,37215
22805,1544,2022,17,057,Illinois,Fulton County,32935
3403,227,2022,17,059,Illinois,Gallatin County,4823
8564,624,2022,17,061,Illinois,Greene County,11640
42841,2119,2022,17,063,Illinois,Grundy County,53149
5796,435,2022,17,065,Illinois,Hamilton County,7981
12243,772,2022,17,067,Illinois,Hancock County,17254
2462,149,2022,17,069,Illinois,Hardin County,3572
4200,266,2022,17,071,Illinois,Henderson County,6168
35376,2248,2022,17,073,Illinois,Henry County,48596
18802,1554,2022,17,075,Illinois,Iroquois County,26493
38271,2981,2022,17,077,Illinois,Jackson County,52477
6797,437,2022,17,079,Illinois,Jasper County,9172
26128,1664,2022,17,081,Illinois,Jefferson County,36419
15640,850,2022,17,083,Illinois,Jersey County,21191
14124,1096,2022,17,085,Illinois,Jo Daviess County,21845
7718,571,2022,17,087,Illinois,Johnson County,13391
389479,40503,2022,17,089,Illinois,Kane County,514139
78715,5622,2022,17,091,Illinois,Kankakee County,105998
114883,6555,2022,17,093,Illinois,Kendall County,137494
32754,2330,2022,17,095,Illinois,Knox County,48620
535052,42691,2022,17,097,Illinois,Lake County,709899
79505,5268,2022,17,099,Illinois,LaSalle County,108181
9491,682,2022,17,101,Illinois,Lawrence County,14891
23198,1366,2022,17,103,Illinois,Lee County,33938
25514,1564,2022,17,105,Illinois,Livingston County,35517
18412,1043,2022,17,107,Illinois,Logan County,27666
18555,1180,2022,17,109,Illinois,McDonough County,26914
244264,15346,2022,17,111,Illinois,McHenry County,311558
131688,6717,2022,17,113,Illinois,McLean County,170918
73839,4251,2022,17,115,Illinois,Macon County,101333
32053,2219,2022,17,117,Illinois,Macoupin County,44123
199528,11509,2022,17,119,Illinois,Madison County,263572
27180,1895,2022,17,121,Illinois,Marion County,36905
8318,505,2022,17,123,Illinois,Marshall County,11671
9220,648,2022,17,125,Illinois,Mason County,12699
10165,711,2022,17,127,Illinois,Massac County,13827
9125,464,2022,17,129,Illinois,Menard County,12072
11391,682,2022,17,131,Illinois,Mercer County,15533
27043,1078,2022,17,133,Illinois,Monroe County,35001
18794,1350,2022,17,135,Illinois,Montgomery County,27901
22316,1414,2022,17,137,Illinois,Morgan County,32298
10507,998,2022,17,139,Illinois,Moultrie County,14375
38643,2497,2022,17,141,Illinois,Ogle County,51345
133568,8282,2022,17,143,Illinois,Peoria County,178000
13556,893,2022,17,145,Illinois,Perry County,20512
12501,672,2022,17,147,Illinois,Piatt County,16675
10321,886,2022,17,149,Illinois,Pike County,14499
2403,132,2022,17,151,Illinois,Pope County,3746
3429,215,2022,17,153,Illinois,Pulaski County,4950
3919,273,2022,17,155,Illinois,Putnam County,5553
20035,1571,2022,17,157,Illinois,Randolph County,30026
11366,792,2022,17,159,Illinois,Richland County,15555
101079,8104,2022,17,161,Illinois,Rock Island County,141559
193318,10854,2022,17,163,Illinois,St. Clair County,252265
16809,1134,2022,17,165,Illinois,Saline County,23052
147000,8084,2022,17,167,Illinois,Sangamon County,194151
4725,413,2022,17,169,Illinois,Schuyler County,6753
3587,186,2022,17,171,Illinois,Scott County,4771
14929,905,2022,17,173,Illinois,Shelby County,20710
3824,293,2022,17,175,Illinois,Stark County,5313
31279,1820,2022,17,177,Illinois,Stephenson County,43556
97672,5114,2022,17,179,Illinois,Tazewell County,129610
11950,903,2022,17,181,Illinois,Union County,16772
52433,2976,2022,17,183,Illinois,Vermilion County,72103
7910,484,2022,17,185,Illinois,Wabash County,11040
11396,878,2022,17,187,Illinois,Warren County,16360
10105,505,2022,17,189,Illinois,Washington County,13623
11215,1083,2022,17,191,Illinois,Wayne County,15843
9715,663,2022,17,193,Illinois,White County,13595
39843,2476,2022,17,195,Illinois,Whiteside County,54555
552067,34800,2022,17,197,Illinois,Will County,698046
49343,2577,2022,17,199,Illinois,Williamson County,66544
211212,16136,2022,17,201,Illinois,Winnebago County,281542
28854,1550,2022,17,203,Illinois,Woodford County,38177
