nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
25721,4143,2022,18,001,Indiana,Adams County,36151
300411,26610,2022,18,003,Indiana,Allen County,391644
63392,5234,2022,18,005,Indiana,Bartholomew County,83394
6425,693,2022,18,007,Indiana,Benton County,8672
8536,730,2022,18,009,Indiana,Blackford County,11919
59920,3223,2022,18,011,Indiana,Boone County,74309
10538,885,2022,18,013,Indiana,Brown County,15587
14720,1577,2022,18,015,Indiana,Carroll County,20514
27148,2821,2022,18,017,Indiana,Cass County,37537
95317,7656,2022,18,019,Indiana,Clark County,124222
19746,1446,2022,18,021,Indiana,Clay County,26410
24444,2673,2022,18,023,Indiana,Clinton County,32769
7471,829,2022,18,025,Indiana,Crawford County,10517
23147,4720,2022,18,027,Indiana,Daviess County,33496
38339,2865,2022,18,029,Indiana,Dearborn County,50900
20203,1421,2022,18,031,Indiana,Decatur County,26454
33338,2715,2022,18,033,Indiana,DeKalb County,43813
78587,7452,2022,18,035,Indiana,Delaware County,112163
32395,2744,2022,18,037,Indiana,Dubois County,43492
151056,22265,2022,18,039,Indiana,Elkhart County,206873
16993,1370,2022,18,041,Indiana,Fayette County,23389
61518,4550,2022,18,043,Indiana,Floyd County,80621
12178,1032,2022,18,045,Indiana,Fountain County,16620
17138,1346,2022,18,047,Indiana,Franklin County,23083
14550,1517,2022,18,049,Indiana,Fulton County,20368
25045,1794,2022,18,051,Indiana,Gibson County,33002
45355,3516,2022,18,053,Indiana,Grant County,65993
22498,2072,2022,18,055,Indiana,Greene County,31071
301096,14366,2022,18,057,Indiana,Hamilton County,365463
64686,4032,2022,18,059,Indiana,Hancock County,83117
29754,2187,2022,18,061,Indiana,Harrison County,39790
143765,8961,2022,18,063,Indiana,Hendricks County,183119
33497,2599,2022,18,065,Indiana,Henry County,48815
61830,4675,2022,18,067,Indiana,Howard County,83546
27187,2043,2022,18,069,Indiana,Huntington County,36800
34541,3243,2022,18,071,Indiana,Jackson County,46230
24811,2124,2022,18,073,Indiana,Jasper County,33345
14795,1450,2022,18,075,Indiana,Jay County,20118
22720,1816,2022,18,077,Indiana,Jefferson County,32936
21004,1665,2022,18,079,Indiana,Jennings County,27484
129376,9261,2022,18,081,Indiana,Johnson County,165686
25581,2177,2022,18,083,Indiana,Knox County,35876
58473,6373,2022,18,085,Indiana,Kosciusko County,80564
23079,11534,2022,18,087,Indiana,LaGrange County,40854
373395,31221,2022,18,089,Indiana,Lake County,499657
77648,6694,2022,18,091,Indiana,LaPorte County,111822
32808,2851,2022,18,093,Indiana,Lawrence County,45231
93886,8118,2022,18,095,Indiana,Madison County,131383
738844,79985,2022,18,097,Indiana,Marion County,969223
32664,4711,2022,18,099,Indiana,Marshall County,46378
6922,657,2022,18,101,Indiana,Martin County,9827
23671,2266,2022,18,103,Indiana,Miami County,35546
102449,6800,2022,18,105,Indiana,Monroe County,139621
27778,2526,2022,18,107,Indiana,Montgomery County,38319
54312,4411,2022,18,109,Indiana,Morgan County,72260
9873,1047,2022,18,111,Indiana,Newton County,13839
34708,3959,2022,18,113,Indiana,Noble County,47234
4330,369,2022,18,115,Indiana,Ohio County,6097
14119,1315,2022,18,117,Indiana,Orange County,19601
15381,1509,2022,18,119,Indiana,Owen County,21487
10496,1423,2022,18,121,Indiana,Parke County,16367
13127,890,2022,18,123,Indiana,Perry County,19207
8814,746,2022,18,125,Indiana,Pike County,12143
131342,9753,2022,18,127,Indiana,Porter County,174848
18605,1141,2022,18,129,Indiana,Posey County,25098
8833,899,2022,18,131,Indiana,Pulaski County,12449
25033,1887,2022,18,133,Indiana,Putnam County,37294
17536,1710,2022,18,135,Indiana,Randolph County,24350
21737,1711,2022,18,137,Indiana,Ripley County,29030
12178,1180,2022,18,139,Indiana,Rush County,16672
198822,17388,2022,18,141,Indiana,St. Joseph County,272282
18459,1739,2022,18,143,Indiana,Scott County,24500
33495,2809,2022,18,145,Indiana,Shelby County,45189
14669,1090,2022,18,147,Indiana,Spencer County,19849
16848,1582,2022,18,149,Indiana,Starke County,23203
23535,1926,2022,18,151,Indiana,Steuben County,34772
13607,1063,2022,18,153,Indiana,Sullivan County,20671
7293,752,2022,18,155,Indiana,Switzerland County,10009
137879,13211,2022,18,157,Indiana,Tippecanoe County,188237
11075,882,2022,18,159,Indiana,Tipton County,15325
5067,450,2022,18,161,Indiana,Union County,6967
131686,11311,2022,18,163,Indiana,Vanderburgh County,179563
11358,902,2022,18,165,Indiana,Vermillion County,15433
72727,7480,2022,18,167,Indiana,Vigo County,106082
21534,1909,2022,18,169,Indiana,Wabash County,30842
6298,382,2022,18,171,Indiana,Warren County,8488
50453,2756,2022,18,173,Indiana,Warrick County,65231
20949,1811,2022,18,175,Indiana,Washington County,28171
47884,4421,2022,18,177,Indiana,Wayne County,66216
21411,1499,2022,18,179,Indiana,Wells County,28298
17310,1918,2022,18,181,Indiana,White County,24660
25978,1847,2022,18,183,Indiana,Whitley County,34577
