nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
5489,290,2022,19,001,Iowa,Adair County,7457
2565,138,2022,19,003,Iowa,Adams County,3601
9790,816,2022,19,005,Iowa,Allamakee County,14018
8588,511,2022,19,007,Iowa,Appanoose County,12141
3936,234,2022,19,009,Iowa,Audubon County,5575
19742,929,2022,19,011,Iowa,Benton County,25742
98147,5425,2022,19,013,Iowa,Black Hawk County,130052
20067,971,2022,19,015,Iowa,Boone County,26579
18270,689,2022,19,017,Iowa,Bremer County,25254
15838,896,2022,19,019,Iowa,Buchanan County,20689
14742,1585,2022,19,021,Iowa,Buena Vista County,20644
10353,517,2022,19,023,Iowa,Butler County,14246
6516,386,2022,19,025,Iowa,Calhoun County,9725
15299,734,2022,19,027,Iowa,Carroll County,20541
9324,663,2022,19,029,Iowa,Cass County,13137
13798,657,2022,19,031,Iowa,Cedar County,18353
30375,1594,2022,19,033,Iowa,Cerro Gordo County,42426
8074,458,2022,19,035,Iowa,Cherokee County,11490
8453,576,2022,19,037,Iowa,Chickasaw County,11728
7240,519,2022,19,039,Iowa,Clarke County,9643
12064,625,2022,19,041,Iowa,Clay County,16507
11901,846,2022,19,043,Iowa,Clayton County,17057
34998,1774,2022,19,045,Iowa,Clinton County,46255
11774,1275,2022,19,047,Iowa,Crawford County,16129
90937,3580,2022,19,049,Iowa,Dallas County,108146
6392,1073,2022,19,051,Iowa,Davis County,9147
5309,329,2022,19,053,Iowa,Decatur County,7695
13083,728,2022,19,055,Iowa,Delaware County,17607
28317,1503,2022,19,057,Iowa,Des Moines County,38242
12207,719,2022,19,059,Iowa,Dickinson County,18048
73414,3537,2022,19,061,Iowa,Dubuque County,98715
6287,537,2022,19,063,Iowa,Emmet County,9214
13525,803,2022,19,065,Iowa,Fayette County,19266
11222,606,2022,19,067,Iowa,Floyd County,15348
7030,583,2022,19,069,Iowa,Franklin County,9946
4633,227,2022,19,071,Iowa,Fremont County,6475
6245,381,2022,19,073,Iowa,Greene County,8710
9307,418,2022,19,075,Iowa,Grundy County,12355
7619,483,2022,19,077,Iowa,Guthrie County,10681
11005,608,2022,19,079,Iowa,Hamilton County,14803
7595,461,2022,19,081,Iowa,Hancock County,10651
11435,754,2022,19,083,Iowa,Hardin County,16614
11019,678,2022,19,085,Iowa,Harrison County,14680
13712,747,2022,19,087,Iowa,Henry County,20253
7032,516,2022,19,089,Iowa,Howard County,9509
7027,415,2022,19,091,Iowa,Humboldt County,9521
5052,298,2022,19,093,Iowa,Ida County,6905
12578,585,2022,19,095,Iowa,Iowa County,16497
14257,786,2022,19,097,Iowa,Jackson County,19346
27595,1384,2022,19,099,Iowa,Jasper County,37949
10151,861,2022,19,101,Iowa,Jefferson County,15668
121788,6432,2022,19,103,Iowa,Johnson County,156915
14622,761,2022,19,105,Iowa,Jones County,20949
7267,386,2022,19,107,Iowa,Keokuk County,9883
10158,579,2022,19,109,Iowa,Kossuth County,14465
23670,1186,2022,19,111,Iowa,Lee County,32829
178264,8021,2022,19,113,Iowa,Linn County,228940
7860,586,2022,19,115,Iowa,Louisa County,10617
6359,360,2022,19,117,Iowa,Lucas County,8702
9245,573,2022,19,119,Iowa,Lyon County,12177
13384,643,2022,19,121,Iowa,Madison County,17040
16421,885,2022,19,123,Iowa,Mahaska County,21971
25031,1058,2022,19,125,Iowa,Marion County,33630
29753,2207,2022,19,127,Iowa,Marshall County,39821
11077,482,2022,19,129,Iowa,Mills County,14535
7698,542,2022,19,131,Iowa,Mitchell County,10544
6004,358,2022,19,133,Iowa,Monona County,8506
5695,289,2022,19,135,Iowa,Monroe County,7530
7452,442,2022,19,137,Iowa,Montgomery County,10210
32399,1847,2022,19,139,Iowa,Muscatine County,42395
10241,639,2022,19,141,Iowa,O'Brien County,14085
4278,334,2022,19,143,Iowa,Osceola County,6072
9820,602,2022,19,145,Iowa,Page County,15176
6299,336,2022,19,147,Iowa,Palo Alto County,8790
19604,946,2022,19,149,Iowa,Plymouth County,25722
4891,416,2022,19,151,Iowa,Pocahontas County,7073
401452,23278,2022,19,153,Iowa,Polk County,501184
70107,4238,2022,19,155,Iowa,Pottawattamie County,93065
12537,592,2022,19,157,Iowa,Poweshiek County,18518
3357,227,2022,19,159,Iowa,Ringgold County,4688
6885,420,2022,19,161,Iowa,Sac County,9689
133563,8190,2022,19,163,Iowa,Scott County,173751
8354,533,2022,19,165,Iowa,Shelby County,11711
26289,1672,2022,19,167,Iowa,Sioux County,36127
72138,3500,2022,19,169,Iowa,Story County,98257
12303,852,2022,19,171,Iowa,Tama County,16943
4227,305,2022,19,173,Iowa,Taylor County,5875
8591,511,2022,19,175,Iowa,Union County,11903
5104,465,2022,19,177,Iowa,Van Buren County,7252
25799,1850,2022,19,179,Iowa,Wapello County,35081
42510,1690,2022,19,181,Iowa,Warren County,54303
16683,1256,2022,19,183,Iowa,Washington County,22542
4678,295,2022,19,185,Iowa,Wayne County,6490
25627,1560,2022,19,187,Iowa,Webster County,36652
7397,442,2022,19,189,Iowa,Winnebago County,10639
13257,575,2022,19,191,Iowa,Winneshiek County,19902
80459,6158,2022,19,193,Iowa,Woodbury County,105558
5360,306,2022,19,195,Iowa,Worth County,7311
9111,524,2022,19,197,Iowa,Wright County,12695
