nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
8569,1073,2022,20,001,Kansas,Allen County,12489
5337,797,2022,20,003,Kansas,Anderson County,7798
10691,986,2022,20,005,Kansas,Atchison County,16053
2697,373,2022,20,007,Kansas,Barber County,4124
17027,2641,2022,20,009,Kansas,Barton County,25058
10227,1152,2022,20,011,Kansas,Bourbon County,14443
6339,882,2022,20,013,Kansas,Brown County,9373
50529,4585,2022,20,015,Kansas,Butler County,68289
1625,164,2022,20,017,Kansas,Chase County,2568
2193,354,2022,20,019,Kansas,Chautauqua County,3387
13553,1697,2022,20,021,Kansas,Cherokee County,19025
1612,285,2022,20,023,Kansas,Cheyenne County,2618
1413,121,2022,20,025,Kansas,Clark County,1939
5486,568,2022,20,027,Kansas,Clay County,8041
6127,581,2022,20,029,Kansas,Cloud County,8934
5821,574,2022,20,031,Kansas,Coffey County,8252
1117,111,2022,20,033,Kansas,Comanche County,1690
23839,2709,2022,20,035,Kansas,Cowley County,34423
28688,3431,2022,20,037,Kansas,Crawford County,39145
1685,208,2022,20,039,Kansas,Decatur County,2689
13226,1358,2022,20,041,Kansas,Dickinson County,18355
5077,520,2022,20,043,Kansas,Doniphan County,7475
87146,9383,2022,20,045,Kansas,Douglas County,120007
1842,289,2022,20,047,Kansas,Edwards County,2760
1555,223,2022,20,049,Kansas,Elk County,2448
20210,2528,2022,20,051,Kansas,Ellis County,28840
3597,385,2022,20,053,Kansas,Ellsworth County,6383
26856,5649,2022,20,055,Kansas,Finney County,37639
24472,4799,2022,20,057,Kansas,Ford County,33924
19145,1845,2022,20,059,Kansas,Franklin County,25959
28999,2653,2022,20,061,Kansas,Geary County,35529
1868,208,2022,20,063,Kansas,Gove County,2742
1544,212,2022,20,065,Kansas,Graham County,2397
5021,1062,2022,20,067,Kansas,Grant County,7250
3961,863,2022,20,069,Kansas,Gray County,5711
876,116,2022,20,071,Kansas,Greeley County,1232
3888,487,2022,20,073,Kansas,Greenwood County,5908
1639,407,2022,20,075,Kansas,Hamilton County,2452
3632,488,2022,20,077,Kansas,Harper County,5400
23490,2907,2022,20,079,Kansas,Harvey County,33671
2308,621,2022,20,081,Kansas,Haskell County,3595
1208,154,2022,20,083,Kansas,Hodgeman County,1697
9380,1083,2022,20,085,Kansas,Jackson County,13292
13244,1315,2022,20,087,Kansas,Jefferson County,18354
1736,229,2022,20,089,Kansas,Jewell County,2885
487329,30791,2022,20,091,Kansas,Johnson County,619091
2654,525,2022,20,093,Kansas,Kearny County,3865
5143,591,2022,20,095,Kansas,Kingman County,7174
1489,199,2022,20,097,Kansas,Kiowa County,2405
14021,1721,2022,20,099,Kansas,Labette County,19702
1020,147,2022,20,101,Kansas,Lane County,1544
59265,5120,2022,20,103,Kansas,Leavenworth County,82922
1915,222,2022,20,105,Kansas,Lincoln County,2911
6838,799,2022,20,107,Kansas,Linn County,9777
1923,231,2022,20,109,Kansas,Logan County,2703
22350,3474,2022,20,111,Kansas,Lyon County,32031
20499,2188,2022,20,113,Kansas,McPherson County,30063
7699,961,2022,20,115,Kansas,Marion County,11783
6877,790,2022,20,117,Kansas,Marshall County,9992
2655,510,2022,20,119,Kansas,Meade County,3913
26099,2141,2022,20,121,Kansas,Miami County,34791
3880,501,2022,20,123,Kansas,Mitchell County,5730
21434,2732,2022,20,125,Kansas,Montgomery County,30853
3554,419,2022,20,127,Kansas,Morris County,5400
1752,314,2022,20,129,Kansas,Morton County,2601
7464,656,2022,20,131,Kansas,Nemaha County,10164
10902,1188,2022,20,133,Kansas,Neosho County,15583
1710,266,2022,20,135,Kansas,Ness County,2657
3029,354,2022,20,137,Kansas,Norton County,5325
11234,1243,2022,20,139,Kansas,Osage County,15705
2306,265,2022,20,141,Kansas,Osborne County,3481
4172,351,2022,20,143,Kansas,Ottawa County,5806
3643,404,2022,20,145,Kansas,Pawnee County,6188
3146,443,2022,20,147,Kansas,Phillips County,4783
20460,1650,2022,20,149,Kansas,Pottawatomie County,26292
6046,752,2022,20,151,Kansas,Pratt County,9073
1632,192,2022,20,153,Kansas,Rawlins County,2523
42224,4723,2022,20,155,Kansas,Reno County,61552
3043,328,2022,20,157,Kansas,Republic County,4653
6340,756,2022,20,159,Kansas,Rice County,9370
48837,5574,2022,20,161,Kansas,Riley County,71563
3050,460,2022,20,163,Kansas,Rooks County,4810
1949,254,2022,20,165,Kansas,Rush County,2941
4544,453,2022,20,167,Kansas,Russell County,6733
38096,4180,2022,20,169,Kansas,Saline County,53389
3273,700,2022,20,171,Kansas,Scott County,5007
382810,53936,2022,20,173,Kansas,Sedgwick County,525368
15184,3384,2022,20,175,Kansas,Seward County,21345
126524,14257,2022,20,177,Kansas,Shawnee County,177537
1715,138,2022,20,179,Kansas,Sheridan County,2439
3838,596,2022,20,181,Kansas,Sherman County,5876
2269,211,2022,20,183,Kansas,Smith County,3572
2687,406,2022,20,185,Kansas,Stafford County,3971
1366,239,2022,20,187,Kansas,Stanton County,1967
3508,821,2022,20,189,Kansas,Stevens County,5166
16122,1822,2022,20,191,Kansas,Sumner County,22359
5345,768,2022,20,193,Kansas,Thomas County,7908
1802,219,2022,20,195,Kansas,Trego County,2746
4934,414,2022,20,197,Kansas,Wabaunsee County,7009
1046,99,2022,20,199,Kansas,Wallace County,1493
3690,499,2022,20,201,Kansas,Washington County,5493
1371,258,2022,20,203,Kansas,Wichita County,2078
5918,690,2022,20,205,Kansas,Wilson County,8554
2106,221,2022,20,207,Kansas,Woodson County,3117
119078,21216,2022,20,209,Kansas,Wyandotte County,165626
