nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
13182,1049,2022,21,001,Kentucky,Adair County,19097
16242,1117,2022,21,003,Kentucky,Allen County,21283
19014,1198,2022,21,005,Kentucky,Anderson County,24273
5530,383,2022,21,007,Kentucky,Ballard County,7642
33538,2814,2022,21,009,Kentucky,Barren County,44872
9870,661,2022,21,011,Kentucky,Bath County,12828
17115,1281,2022,21,013,Kentucky,Bell County,23611
112793,5575,2022,21,015,Kentucky,Boone County,139045
14815,1197,2022,21,017,Kentucky,Bourbon County,20109
34502,2220,2022,21,019,Kentucky,Boyd County,48059
20903,1338,2022,21,021,Kentucky,Boyle County,30851
6490,428,2022,21,023,Kentucky,Bracken County,8435
9906,706,2022,21,025,Kentucky,Breathitt County,13358
15148,1346,2022,21,027,Kentucky,Breckinridge County,20961
66035,3382,2022,21,029,Kentucky,Bullitt County,83774
8966,919,2022,21,031,Kentucky,Butler County,12365
9112,665,2022,21,033,Kentucky,Caldwell County,12608
26378,2031,2022,21,035,Kentucky,Calloway County,38093
72166,3666,2022,21,037,Kentucky,Campbell County,93272
3461,315,2022,21,039,Kentucky,Carlisle County,4719
8409,616,2022,21,041,Kentucky,Carroll County,10939
18947,1546,2022,21,043,Kentucky,Carter County,26343
11131,1130,2022,21,045,Kentucky,Casey County,15911
53699,4280,2022,21,047,Kentucky,Christian County,72286
28309,1614,2022,21,049,Kentucky,Clark County,36992
13884,1264,2022,21,051,Kentucky,Clay County,19874
6574,591,2022,21,053,Kentucky,Clinton County,9139
6323,525,2022,21,055,Kentucky,Crittenden County,8991
4234,340,2022,21,057,Kentucky,Cumberland County,5969
78095,5127,2022,21,059,Kentucky,Daviess County,103189
8875,766,2022,21,061,Kentucky,Edmonson County,12302
4431,237,2022,21,063,Kentucky,Elliott County,7292
10380,884,2022,21,065,Kentucky,Estill County,14024
242736,19910,2022,21,067,Kentucky,Fayette County,320281
11410,950,2022,21,069,Kentucky,Fleming County,15278
25934,1996,2022,21,071,Kentucky,Floyd County,34918
38046,2621,2022,21,073,Kentucky,Franklin County,51548
4135,304,2022,21,075,Kentucky,Fulton County,6371
6961,491,2022,21,077,Kentucky,Gallatin County,8773
12933,1240,2022,21,079,Kentucky,Garrard County,17566
20124,1413,2022,21,081,Kentucky,Grant County,25474
27291,2134,2022,21,083,Kentucky,Graves County,36493
19512,1578,2022,21,085,Kentucky,Grayson County,26643
8248,712,2022,21,087,Kentucky,Green County,11392
25657,1674,2022,21,089,Kentucky,Greenup County,35375
6896,429,2022,21,091,Kentucky,Hancock County,9027
87733,5531,2022,21,093,Kentucky,Hardin County,111743
18948,1341,2022,21,095,Kentucky,Harlan County,25652
14563,963,2022,21,097,Kentucky,Harrison County,19105
14740,1264,2022,21,099,Kentucky,Hart County,19594
32482,2394,2022,21,101,Kentucky,Henderson County,44032
11842,982,2022,21,103,Kentucky,Henry County,15760
2998,233,2022,21,105,Kentucky,Hickman County,4434
33397,2441,2022,21,107,Kentucky,Hopkins County,44926
