nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
43060,3928,2022,22,001,Louisiana,Acadia Parish,56725
14921,1161,2022,22,003,Louisiana,Allen Parish,22287
104211,7218,2022,22,005,Louisiana,Ascension Parish,130485
14529,1559,2022,22,007,Louisiana,Assumption Parish,20463
26451,2717,2022,22,009,Louisiana,Avoyelles Parish,38715
27146,2654,2022,22,011,Louisiana,Beauregard Parish,36624
9025,695,2022,22,013,Louisiana,Bienville Parish,12612
97938,8861,2022,22,015,Louisiana,Bossier Parish,129153
164581,14767,2022,22,017,Louisiana,Caddo Parish,228934
152410,13354,2022,22,019,Louisiana,Calcasieu Parish,202288
6457,633,2022,22,021,Louisiana,Caldwell Parish,9493
3706,262,2022,22,023,Louisiana,Cameron Parish,4896
5816,530,2022,22,025,Louisiana,Catahoula Parish,8604
8059,853,2022,22,027,Louisiana,Claiborne Parish,13849
12285,1253,2022,22,029,Louisiana,Concordia Parish,18026
19587,1725,2022,22,031,Louisiana,De Soto Parish,26856
331150,27292,2022,22,033,Louisiana,East Baton Rouge Parish,450091
3756,362,2022,22,035,Louisiana,East Carroll Parish,6939
12104,862,2022,22,037,Louisiana,East Feliciana Parish,19208
23400,2083,2022,22,039,Louisiana,Evangeline Parish,32033
13856,1444,2022,22,041,Louisiana,Franklin Parish,19358
14417,1229,2022,22,043,Louisiana,Grant Parish,22040
50954,4811,2022,22,045,Louisiana,Iberia Parish,68320
19560,1667,2022,22,047,Louisiana,Iberville Parish,29613
10327,821,2022,22,049,Louisiana,Jackson Parish,14816
301936,36943,2022,22,051,Louisiana,Jefferson Parish,426030
23997,2184,2022,22,053,Louisiana,Jefferson Davis Parish,31929
188571,17895,2022,22,055,Louisiana,Lafayette Parish,247714
70718,6319,2022,22,057,Louisiana,Lafourche Parish,95751
9482,932,2022,22,059,Louisiana,LaSalle Parish,14821
32827,2869,2022,22,061,Louisiana,Lincoln Parish,47980
117578,8983,2022,22,063,Louisiana,Livingston Parish,148056
6421,475,2022,22,065,Louisiana,Madison Parish,9480
16815,1437,2022,22,067,Louisiana,Morehouse Parish,24414
25943,2089,2022,22,069,Louisiana,Natchitoches Parish,36648
263220,22812,2022,22,071,Louisiana,Orleans Parish,369917
116008,9552,2022,22,073,Louisiana,Ouachita Parish,157704
16828,1559,2022,22,075,Louisiana,Plaquemines Parish,22618
14175,1182,2022,22,077,Louisiana,Pointe Coupee Parish,20212
93943,8094,2022,22,079,Louisiana,Rapides Parish,127028
5335,445,2022,22,081,Louisiana,Red River Parish,7465
13782,1348,2022,22,083,Louisiana,Richland Parish,19784
15143,1676,2022,22,085,Louisiana,Sabine Parish,21974
34558,3404,2022,22,087,Louisiana,St. Bernard Parish,44419
39891,2300,2022,22,089,Louisiana,St. Charles Parish,51058
7554,687,2022,22,091,Louisiana,St. Helena Parish,10789
14280,905,2022,22,093,Louisiana,St. James Parish,19388
30087,2239,2022,22,095,Louisiana,St. John the Baptist Parish,39955
60563,5652,2022,22,097,Louisiana,St. Landry Parish,81679
38599,3298,2022,22,099,Louisiana,St. Martin Parish,51249
34324,3525,2022,22,101,Louisiana,St. Mary Parish,47819
202866,17701,2022,22,103,Louisiana,St. Tammany Parish,273237
101446,9333,2022,22,105,Louisiana,Tangipahoa Parish,136799
2441,280,2022,22,107,Louisiana,Tensas Parish,3814
77653,8196,2022,22,109,Louisiana,Terrebonne Parish,104632
14531,1164,2022,22,111,Louisiana,Union Parish,20729
43275,3838,2022,22,113,Louisiana,Vermilion Parish,56953
36328,2975,2022,22,115,Louisiana,Vernon Parish,46870
31903,2560,2022,22,117,Louisiana,Washington Parish,44991
25542,2232,2022,22,119,Louisiana,Webster Parish,35527
21488,1315,2022,22,121,Louisiana,West Baton Rouge Parish,28034
6788,672,2022,22,123,Louisiana,West Carroll Parish,9481
7299,405,2022,22,125,Louisiana,West Feliciana Parish,15396
8461,738,2022,22,127,Louisiana,Winn Parish,13251
