nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
80721,7126,2022,23,001,Maine,Androscoggin County,113225
43999,5115,2022,23,003,Maine,Aroostook County,67322
225031,16134,2022,23,005,Maine,Cumberland County,308837
19838,1934,2022,23,007,Maine,Franklin County,30595
35794,4650,2022,23,009,Maine,Hancock County,56549
89060,7867,2022,23,011,Maine,Kennebec County,126535
25663,2937,2022,23,013,Maine,Knox County,41179
22724,2548,2022,23,015,Maine,Lincoln County,36285
40182,4982,2022,23,017,Maine,Oxford County,59458
107702,10397,2022,23,019,Maine,Penobscot County,154728
11331,1132,2022,23,021,Maine,Piscataquis County,17403
26052,2203,2022,23,023,Maine,Sagadahoc County,37372
35118,3768,2022,23,025,Maine,Somerset County,51118
26438,3081,2022,23,027,Maine,Waldo County,40255
19766,2600,2022,23,029,Maine,Washington County,31527
155676,11873,2022,23,031,Maine,York County,216950
