nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
45481,2960,2022,24,001,Maryland,Allegany County,67266
464859,25423,2022,24,003,Maryland,Anne Arundel County,593347
628055,40013,2022,24,005,Maryland,Baltimore County,845986
75586,3455,2022,24,009,Maryland,Calvert County,94559
25031,2384,2022,24,011,Maryland,Caroline County,33427
135807,6130,2022,24,013,Maryland,Carroll County,175472
81985,4676,2022,24,015,Maryland,Cecil County,104870
136609,7065,2022,24,017,Maryland,Charles County,170111
23116,1740,2022,24,019,Maryland,Dorchester County,32583
227168,12367,2022,24,021,Maryland,Frederick County,287540
19668,1803,2022,24,023,Maryland,Garrett County,28588
206967,10064,2022,24,025,Maryland,Harford County,263815
268369,12048,2022,24,027,Maryland,Howard County,335366
11967,913,2022,24,029,Maryland,Kent County,19295
796669,66678,2022,24,031,Maryland,Montgomery County,1053067
685234,83913,2022,24,033,Maryland,Prince George's County,946980
38482,2455,2022,24,035,Maryland,Queen Anne's County,51720
91981,5185,2022,24,037,Maryland,St. Mary's County,114783
14495,948,2022,24,039,Maryland,Somerset County,24608
24301,1973,2022,24,041,Maryland,Talbot County,37814
112518,9303,2022,24,043,Maryland,Washington County,155257
77037,6733,2022,24,045,Maryland,Wicomico County,104486
35305,2686,2022,24,047,Maryland,Worcester County,53934
426901,30030,2022,24,510,Maryland,Baltimore city,569107
