nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
149418,4588,2022,25,001,Massachusetts,Barnstable County,232078
89474,2579,2022,25,003,Massachusetts,Berkshire County,127547
453042,15754,2022,25,005,Massachusetts,Bristol County,579744
14658,630,2022,25,007,Massachusetts,Dukes County,20962
623554,22514,2022,25,009,Massachusetts,Essex County,806499
51460,1355,2022,25,011,Massachusetts,Franklin County,70995
355289,12022,2022,25,013,Massachusetts,Hampden County,460758
106738,2749,2022,25,015,Massachusetts,Hampshire County,162518
1276190,31210,2022,25,017,Massachusetts,Middlesex County,1616794
11522,451,2022,25,019,Massachusetts,Nantucket County,14443
571060,13748,2022,25,021,Massachusetts,Norfolk County,725469
410797,10240,2022,25,023,Massachusetts,Plymouth County,533248
602885,19020,2022,25,025,Massachusetts,Suffolk County,768812
673691,22465,2022,25,027,Massachusetts,Worcester County,862873
