nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
6153,469,2022,26,001,Michigan,Alcona County,10397
5225,334,2022,26,003,Michigan,Alger County,8773
93189,5663,2022,26,005,Michigan,Allegan County,121290
20083,1323,2022,26,007,Michigan,Alpena County,28833
16110,1169,2022,26,009,Michigan,Antrim County,24265
10302,710,2022,26,011,Michigan,Arenac County,15123
5059,357,2022,26,013,Michigan,Baraga County,8283
47994,2788,2022,26,015,Michigan,Barry County,63402
75859,4586,2022,26,017,Michigan,Bay County,102638
12230,890,2022,26,019,Michigan,Benzie County,18327
110198,8223,2022,26,021,Michigan,Berrien County,152835
32054,2877,2022,26,023,Michigan,Branch County,44502
100322,6578,2022,26,025,Michigan,Calhoun County,133424
36738,2714,2022,26,027,Michigan,Cass County,51477
17874,1181,2022,26,029,Michigan,Charlevoix County,26173
16933,1380,2022,26,031,Michigan,Cheboygan County,25964
22699,1837,2022,26,033,Michigan,Chippewa County,36207
21313,1930,2022,26,035,Michigan,Clare County,31307
61955,2859,2022,26,037,Michigan,Clinton County,79652
9222,598,2022,26,039,Michigan,Crawford County,13434
25334,1706,2022,26,041,Michigan,Delta County,36781
18585,990,2022,26,043,Michigan,Dickinson County,25943
81985,4125,2022,26,045,Michigan,Eaton County,108854
23827,1643,2022,26,047,Michigan,Emmet County,34215
306267,16789,2022,26,049,Michigan,Genesee County,401923
17144,1434,2022,26,051,Michigan,Gladwin County,25621
9466,615,2022,26,053,Michigan,Gogebic County,14377
70168,4268,2022,26,055,Michigan,Grand Traverse County,96298
27223,1467,2022,26,057,Michigan,Gratiot County,41104
32692,2305,2022,26,059,Michigan,Hillsdale County,45735
25851,1728,2022,26,061,Michigan,Houghton County,37160
21101,1597,2022,26,063,Michigan,Huron County,31145
214628,13193,2022,26,065,Michigan,Ingham County,283477
47072,2876,2022,26,067,Michigan,Ionia County,66836
16527,1133,2022,26,069,Michigan,Iosco County,25473
7335,610,2022,26,071,Michigan,Iron County,11705
48572,3442,2022,26,073,Michigan,Isabella County,64366
114989,6861,2022,26,075,Michigan,Jackson County,159758
203302,10862,2022,26,077,Michigan,Kalamazoo County,260892
13134,1039,2022,26,079,Michigan,Kalkaska County,18244
523296,30301,2022,26,081,Michigan,Kent County,658920
1337,68,2022,26,083,Michigan,Keweenaw County,2155
7265,598,2022,26,085,Michigan,Lake County,12651
65997,3956,2022,26,087,Michigan,Lapeer County,88632
14039,995,2022,26,089,Michigan,Leelanau County,22883
70976,4076,2022,26,091,Michigan,Lenawee County,98280
151647,6004,2022,26,093,Michigan,Livingston County,196134
3643,248,2022,26,095,Michigan,Luce County,6274
6596,800,2022,26,097,Michigan,Mackinac County,10962
671109,39276,2022,26,099,Michigan,Macomb County,874235
15901,1206,2022,26,101,Michigan,Manistee County,25365
46883,2936,2022,26,103,Michigan,Marquette County,66548
20485,1201,2022,26,105,Michigan,Mason County,29318
29697,2166,2022,26,107,Michigan,Mecosta County,40782
15796,1058,2022,26,109,Michigan,Menominee County,23225
63500,3197,2022,26,111,Michigan,Midland County,83762
10921,960,2022,26,113,Michigan,Missaukee County,15232
118477,6112,2022,26,115,Michigan,Monroe County,155235
46582,3670,2022,26,117,Michigan,Montcalm County,67209
5936,494,2022,26,119,Michigan,Montmorency County,9557
132723,7067,2022,26,121,Michigan,Muskegon County,175539
37170,2818,2022,26,123,Michigan,Newaygo County,50728
979900,48105,2022,26,125,Michigan,Oakland County,1271025
19323,1534,2022,26,127,Michigan,Oceana County,26920
13920,1107,2022,26,129,Michigan,Ogemaw County,20919
3417,260,2022,26,131,Michigan,Ontonagon County,5921
16728,1195,2022,26,133,Michigan,Osceola County,23279
5369,580,2022,26,135,Michigan,Oscoda County,8391
18529,1327,2022,26,137,Michigan,Otsego County,25561
233460,11342,2022,26,139,Michigan,Ottawa County,300918
8260,566,2022,26,141,Michigan,Presque Isle County,13343
14514,1047,2022,26,143,Michigan,Roscommon County,23682
137199,7988,2022,26,145,Michigan,Saginaw County,188373
121292,6189,2022,26,147,Michigan,St. Clair County,159668
45389,3776,2022,26,149,Michigan,St. Joseph County,60778
28925,2062,2022,26,151,Michigan,Sanilac County,40482
5327,416,2022,26,153,Michigan,Schoolcraft County,8174
51326,3008,2022,26,155,Michigan,Shiawassee County,67967
38627,2407,2022,26,157,Michigan,Tuscola County,52908
56242,4408,2022,26,159,Michigan,Van Buren County,75669
279033,12509,2022,26,161,Michigan,Washtenaw County,366504
1355317,82316,2022,26,163,Michigan,Wayne County,1758942
25032,1863,2022,26,165,Michigan,Wexford County,34018
