nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
9797,720,2022,27,001,Minnesota,Aitkin County,16142
293773,16071,2022,27,003,Minnesota,Anoka County,369108
25031,1887,2022,27,005,Minnesota,Becker County,35363
32154,2776,2022,27,007,Minnesota,Beltrami County,46511
33505,1931,2022,27,009,Minnesota,Benton County,41509
3536,234,2022,27,011,Minnesota,Big Stone County,5149
53437,2905,2022,27,013,Minnesota,Blue Earth County,69603
18371,969,2022,27,015,Minnesota,Brown County,25762
26837,1538,2022,27,017,Minnesota,Carlton County,36544
91339,3075,2022,27,019,Minnesota,Carver County,110120
20375,1700,2022,27,021,Minnesota,Cass County,31308
8823,641,2022,27,023,Minnesota,Chippewa County,12269
44859,2136,2022,27,025,Minnesota,Chisago County,57898
51707,2606,2022,27,027,Minnesota,Clay County,65860
6100,612,2022,27,029,Minnesota,Clearwater County,8638
3602,276,2022,27,031,Minnesota,Cook County,5721
8022,614,2022,27,033,Minnesota,Cottonwood County,11382
47858,3131,2022,27,035,Minnesota,Crow Wing County,67884
355767,16562,2022,27,037,Minnesota,Dakota County,443272
16873,763,2022,27,039,Minnesota,Dodge County,20992
28378,1430,2022,27,041,Minnesota,Douglas County,39684
9831,723,2022,27,043,Minnesota,Faribault County,13930
15304,1282,2022,27,045,Minnesota,Fillmore County,21454
21393,1931,2022,27,047,Minnesota,Freeborn County,30683
35834,1973,2022,27,049,Minnesota,Goodhue County,48041
4373,287,2022,27,051,Minnesota,Grant County,6121
992991,54716,2022,27,053,Minnesota,Hennepin County,1257066
13783,603,2022,27,055,Minnesota,Houston County,18727
14784,1207,2022,27,057,Minnesota,Hubbard County,21963
33323,2050,2022,27,059,Minnesota,Isanti County,42711
31048,1991,2022,27,061,Minnesota,Itasca County,45194
7143,417,2022,27,063,Minnesota,Jackson County,9898
11932,880,2022,27,065,Minnesota,Kanabec County,16449
32175,2230,2022,27,067,Minnesota,Kandiyohi County,43771
2857,137,2022,27,069,Minnesota,Kittson County,4086
7860,510,2022,27,071,Minnesota,Koochiching County,11848
4551,260,2022,27,073,Minnesota,Lac qui Parle County,6656
7395,501,2022,27,075,Minnesota,Lake County,10912
2708,149,2022,27,077,Minnesota,Lake of the Woods County,3886
22475,1144,2022,27,079,Minnesota,Le Sueur County,29124
3953,234,2022,27,081,Minnesota,Lincoln County,5576
19193,1112,2022,27,083,Minnesota,Lyon County,25433
27641,1559,2022,27,085,Minnesota,McLeod County,36734
3699,321,2022,27,087,Minnesota,Mahnomen County,5339
6329,446,2022,27,089,Minnesota,Marshall County,8889
13813,862,2022,27,091,Minnesota,Martin County,19656
17311,1116,2022,27,093,Minnesota,Meeker County,23526
20451,1448,2022,27,095,Minnesota,Mille Lacs County,27295
25384,1449,2022,27,097,Minnesota,Morrison County,34237
29904,2311,2022,27,099,Minnesota,Mower County,40050
5443,413,2022,27,101,Minnesota,Murray County,8040
24890,1224,2022,27,103,Minnesota,Nicollet County,34343
15739,1948,2022,27,105,Minnesota,Nobles County,21958
4634,341,2022,27,107,Minnesota,Norman County,6371
129633,5607,2022,27,109,Minnesota,Olmsted County,164036
41796,2946,2022,27,111,Minnesota,Otter Tail County,60544
10600,371,2022,27,113,Minnesota,Pennington County,13816
20208,1485,2022,27,115,Minnesota,Pine County,29533
6790,537,2022,27,117,Minnesota,Pipestone County,9327
22784,1357,2022,27,119,Minnesota,Polk County,30725
8125,378,2022,27,121,Minnesota,Pope County,11420
409498,29534,2022,27,123,Minnesota,Ramsey County,537303
2800,160,2022,27,125,Minnesota,Red Lake County,3881
11051,813,2022,27,127,Minnesota,Redwood County,15358
10273,945,2022,27,129,Minnesota,Renville County,14473
46678,3023,2022,27,131,Minnesota,Rice County,67523
7162,352,2022,27,133,Minnesota,Rock County,9554
11572,653,2022,27,135,Minnesota,Roseau County,15334
144343,8880,2022,27,137,Minnesota,St. Louis County,199558
128679,5926,2022,27,139,Minnesota,Scott County,154423
82462,4031,2022,27,141,Minnesota,Sherburne County,100540
11215,743,2022,27,143,Minnesota,Sibley County,14928
121957,6719,2022,27,145,Minnesota,Stearns County,160242
28484,1494,2022,27,147,Minnesota,Steele County,37429
6942,399,2022,27,149,Minnesota,Stevens County,9615
6735,671,2022,27,151,Minnesota,Swift County,9771
17755,1591,2022,27,153,Minnesota,Todd County,25533
2249,147,2022,27,155,Minnesota,Traverse County,3242
15700,774,2022,27,157,Minnesota,Wabasha County,21652
10602,716,2022,27,159,Minnesota,Wadena County,14236
13696,808,2022,27,161,Minnesota,Waseca County,18914
219577,9023,2022,27,163,Minnesota,Washington County,276169
7707,890,2022,27,165,Minnesota,Watonwan County,11106
4851,207,2022,27,167,Minnesota,Wilkin County,6358
35197,2095,2022,27,169,Minnesota,Winona County,49469
122042,5551,2022,27,171,Minnesota,Wright County,148118
6816,482,2022,27,173,Minnesota,Yellow Medicine County,9484
