nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
17341,3158,2022,28,001,Mississippi,Adams County,28517
23318,3772,2022,28,003,Mississippi,Alcorn County,34147
7718,1409,2022,28,005,Mississippi,Amite County,12559
11787,1929,2022,28,007,Mississippi,Attala County,17530
4875,1072,2022,28,009,Mississippi,Benton County,7556
18997,3135,2022,28,011,Mississippi,Bolivar County,29461
8287,1710,2022,28,013,Mississippi,Calhoun County,12846
5642,1011,2022,28,015,Mississippi,Carroll County,9736
11142,1888,2022,28,017,Mississippi,Chickasaw County,16863
5286,773,2022,28,019,Mississippi,Choctaw County,8095
5211,710,2022,28,021,Mississippi,Claiborne County,8775
10115,1548,2022,28,023,Mississippi,Clarke County,15203
12354,1762,2022,28,025,Mississippi,Clay County,18311
13324,2248,2022,28,027,Mississippi,Coahoma County,20235
18268,2698,2022,28,029,Mississippi,Copiah County,27712
12791,1893,2022,28,031,Mississippi,Covington County,18142
146105,17404,2022,28,033,Mississippi,DeSoto County,191144
53942,7273,2022,28,035,Mississippi,Forrest County,77976
5082,812,2022,28,037,Mississippi,Franklin County,7611
18178,2922,2022,28,039,Mississippi,George County,25199
7722,1024,2022,28,041,Mississippi,Greene County,13566
14276,2312,2022,28,043,Mississippi,Grenada County,21134
31243,4443,2022,28,045,Mississippi,Hancock County,46007
146998,24109,2022,28,047,Mississippi,Harrison County,210443
147027,21861,2022,28,049,Mississippi,Hinds County,217555
10361,1649,2022,28,051,Mississippi,Holmes County,16111
4809,880,2022,28,053,Mississippi,Humphreys County,7354
423,126,2022,28,055,Mississippi,Issaquena County,1262
16055,2477,2022,28,057,Mississippi,Itawamba County,23971
103750,14870,2022,28,059,Mississippi,Jackson County,144963
10788,1445,2022,28,061,Mississippi,Jasper County,16077
4392,757,2022,28,063,Mississippi,Jefferson County,7067
6973,1111,2022,28,065,Mississippi,Jefferson Davis County,11079
45429,6909,2022,28,067,Mississippi,Jones County,66440
4952,741,2022,28,069,Mississippi,Kemper County,8670
37631,6099,2022,28,071,Mississippi,Lafayette County,57730
47760,7190,2022,28,073,Mississippi,Lamar County,65746
47053,7157,2022,28,075,Mississippi,Lauderdale County,71142
8040,1237,2022,28,077,Mississippi,Lawrence County,11761
13756,2571,2022,28,079,Mississippi,Leake County,21203
59925,8957,2022,28,081,Mississippi,Lee County,82824
18363,2596,2022,28,083,Mississippi,Leflore County,26664
24086,3896,2022,28,085,Mississippi,Lincoln County,34764
40327,5114,2022,28,087,Mississippi,Lowndes County,57671
82848,8899,2022,28,089,Mississippi,Madison County,111271
16104,2682,2022,28,091,Mississippi,Marion County,24166
21785,3526,2022,28,093,Mississippi,Marshall County,33905
22680,3588,2022,28,095,Mississippi,Monroe County,33568
6034,1137,2022,28,097,Mississippi,Montgomery County,9563
19027,3422,2022,28,099,Mississippi,Neshoba County,28804
14022,2139,2022,28,101,Mississippi,Newton County,21023
6540,1229,2022,28,103,Mississippi,Noxubee County,10000
33747,5094,2022,28,105,Mississippi,Oktibbeha County,51384
22293,3718,2022,28,107,Mississippi,Panola County,32592
38331,6850,2022,28,109,Mississippi,Pearl River County,57183
7916,1204,2022,28,111,Mississippi,Perry County,11398
26400,4491,2022,28,113,Mississippi,Pike County,39687
22376,3953,2022,28,115,Mississippi,Pontotoc County,31367
16623,2486,2022,28,117,Mississippi,Prentiss County,24891
3728,668,2022,28,119,Mississippi,Quitman County,5674
113509,13924,2022,28,121,Mississippi,Rankin County,158978
19195,3472,2022,28,123,Mississippi,Scott County,27560
2268,358,2022,28,125,Mississippi,Sharkey County,3462
17268,2857,2022,28,127,Mississippi,Simpson County,25623
9452,1519,2022,28,129,Mississippi,Smith County,14082
12084,2173,2022,28,131,Mississippi,Stone County,18641
14263,2193,2022,28,133,Mississippi,Sunflower County,24837
6959,1138,2022,28,135,Mississippi,Tallahatchie County,12067
19204,2977,2022,28,137,Mississippi,Tate County,28259
14261,2896,2022,28,139,Mississippi,Tippah County,21438
12170,2422,2022,28,141,Mississippi,Tishomingo County,18621
6789,934,2022,28,143,Mississippi,Tunica County,9407
20154,3111,2022,28,145,Mississippi,Union County,28132
8889,1756,2022,28,147,Mississippi,Walthall County,13824
29669,3946,2022,28,149,Mississippi,Warren County,42635
28271,4648,2022,28,151,Mississippi,Washington County,42524
13127,2564,2022,28,153,Mississippi,Wayne County,19583
6924,1154,2022,28,155,Mississippi,Webster County,9944
4757,701,2022,28,157,Mississippi,Wilkinson County,8203
11235,1817,2022,28,159,Mississippi,Winston County,17504
8222,1103,2022,28,161,Mississippi,Yalobusha County,12413
15075,2265,2022,28,163,Mississippi,Yazoo County,25893
