nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
6312,853,2022,30,001,Montana,Beaverhead County,9747
7850,1112,2022,30,003,Montana,Big Horn County,12826
4346,635,2022,30,005,Montana,Blaine County,6972
5245,691,2022,30,007,Montana,Broadwater County,7771
7299,849,2022,30,009,Montana,Carbon County,11236
886,120,2022,30,011,Montana,Carter County,1403
59094,7267,2022,30,013,Montana,Cascade County,85001
3691,603,2022,30,015,Montana,Chouteau County,5908
8187,1083,2022,30,017,Montana,Custer County,12000
1062,148,2022,30,019,Montana,Daniels County,1645
6076,555,2022,30,021,Montana,Dawson County,8807
5936,762,2022,30,023,Montana,Deer Lodge County,9544
2213,227,2022,30,025,Montana,Fallon County,3050
7671,975,2022,30,027,Montana,Fergus County,11672
78617,10218,2022,30,029,Montana,Flathead County,111885
96726,8451,2022,30,031,Montana,Gallatin County,124938
801,106,2022,30,033,Montana,Garfield County,1218
8506,1232,2022,30,035,Montana,Glacier County,13650
491,66,2022,30,037,Montana,Golden Valley County,826
2075,341,2022,30,039,Montana,Granite County,3497
10791,1553,2022,30,041,Montana,Hill County,16118
8855,948,2022,30,043,Montana,Jefferson County,12831
1350,169,2022,30,045,Montana,Judith Basin County,2079
20014,3683,2022,30,047,Montana,Lake County,32853
52747,5558,2022,30,049,Montana,Lewis and Clark County,73784
1255,252,2022,30,051,Montana,Liberty County,1974
12724,2289,2022,30,053,Montana,Lincoln County,21510
1076,132,2022,30,055,Montana,McCone County,1711
5702,857,2022,30,057,Montana,Madison County,9252
1161,201,2022,30,059,Montana,Meagher County,2026
3196,422,2022,30,061,Montana,Mineral County,5020
89762,8901,2022,30,063,Montana,Missoula County,121011
3332,441,2022,30,065,Montana,Musselshell County,5169
12117,1383,2022,30,067,Montana,Park County,17753
343,23,2022,30,069,Montana,Petroleum County,521
2826,334,2022,30,071,Montana,Phillips County,4228
3922,613,2022,30,073,Montana,Pondera County,6092
1042,163,2022,30,075,Montana,Powder River County,1732
3463,514,2022,30,077,Montana,Powell County,7078
621,106,2022,30,079,Montana,Prairie County,1108
30488,4105,2022,30,081,Montana,Ravalli County,47177
8412,919,2022,30,083,Montana,Richland County,11230
6593,1024,2022,30,085,Montana,Roosevelt County,10537
5346,668,2022,30,087,Montana,Rosebud County,8152
7470,1478,2022,30,089,Montana,Sanders County,13384
2319,328,2022,30,091,Montana,Sheridan County,3555
25778,2782,2022,30,093,Montana,Silver Bow County,35947
6313,627,2022,30,095,Montana,Stillwater County,9169
2402,268,2022,30,097,Montana,Sweet Grass County,3727
4332,564,2022,30,099,Montana,Teton County,6346
3018,429,2022,30,101,Montana,Toole County,5077
463,66,2022,30,103,Montana,Treasure County,754
4767,738,2022,30,105,Montana,Valley County,7542
1248,260,2022,30,107,Montana,Wheatland County,2038
609,86,2022,30,109,Montana,Wibaux County,927
124243,12607,2022,30,111,Montana,Yellowstone County,169870
