nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
22246,1932,2022,31,001,Nebraska,Adams County,30947
4319,395,2022,31,003,Nebraska,Antelope County,6305
315,22,2022,31,005,Nebraska,Arthur County,425
454,31,2022,31,007,Nebraska,Banner County,657
328,26,2022,31,009,Nebraska,Blaine County,452
3854,252,2022,31,011,Nebraska,Boone County,5366
7426,908,2022,31,013,Nebraska,Box Butte County,10683
1073,104,2022,31,015,Nebraska,Boyd County,1730
1935,215,2022,31,017,Nebraska,Brown County,2883
37340,3219,2022,31,019,Nebraska,Buffalo County,50532
4662,412,2022,31,021,Nebraska,Burt County,6770
6171,472,2022,31,023,Nebraska,Butler County,8443
20750,1295,2022,31,025,Nebraska,Cass County,27152
5995,474,2022,31,027,Nebraska,Cedar County,8366
2572,325,2022,31,029,Nebraska,Chase County,3754
3906,330,2022,31,031,Nebraska,Cherry County,5485
6783,560,2022,31,033,Nebraska,Cheyenne County,9526
4361,413,2022,31,035,Nebraska,Clay County,6049
7520,1292,2022,31,037,Nebraska,Colfax County,10453
6123,776,2022,31,039,Nebraska,Cuming County,8953
7469,584,2022,31,041,Nebraska,Custer County,10504
15782,1854,2022,31,043,Nebraska,Dakota County,21116
5453,466,2022,31,045,Nebraska,Dawes County,8252
16936,2440,2022,31,047,Nebraska,Dawson County,23905
1286,99,2022,31,049,Nebraska,Deuel County,1901
3769,429,2022,31,051,Nebraska,Dixon County,5516
26813,2514,2022,31,053,Nebraska,Dodge County,37045
454970,39276,2022,31,055,Nebraska,Douglas County,586106
1044,114,2022,31,057,Nebraska,Dundy County,1595
3900,280,2022,31,059,Nebraska,Fillmore County,5541
1916,147,2022,31,061,Nebraska,Franklin County,2850
1697,144,2022,31,063,Nebraska,Frontier County,2611
3104,287,2022,31,065,Nebraska,Furnas County,4570
15481,1242,2022,31,067,Nebraska,Gage County,21564
1193,109,2022,31,069,Nebraska,Garden County,1835
1182,81,2022,31,071,Nebraska,Garfield County,1787
1263,121,2022,31,073,Nebraska,Gosper County,1835
404,36,2022,31,075,Nebraska,Grant County,584
1513,152,2022,31,077,Nebraska,Greeley County,2235
46124,5354,2022,31,079,Nebraska,Hall County,62096
7006,459,2022,31,081,Nebraska,Hamilton County,9439
1983,195,2022,31,083,Nebraska,Harlan County,3032
566,51,2022,31,085,Nebraska,Hayes County,864
1796,141,2022,31,087,Nebraska,Hitchcock County,2614
6993,680,2022,31,089,Nebraska,Holt County,10013
442,44,2022,31,091,Nebraska,Hooker County,682
4753,287,2022,31,093,Nebraska,Howard County,6509
4990,393,2022,31,095,Nebraska,Jefferson County,7140
3019,219,2022,31,097,Nebraska,Johnson County,5245
4952,343,2022,31,099,Nebraska,Kearney County,6706
5449,493,2022,31,101,Nebraska,Keith County,8179
483,50,2022,31,103,Nebraska,Keya Paha County,805
2132,294,2022,31,105,Nebraska,Kimball County,3336
5504,543,2022,31,107,Nebraska,Knox County,8307
246065,19275,2022,31,109,Nebraska,Lancaster County,324434
24332,1904,2022,31,111,Nebraska,Lincoln County,33614
483,37,2022,31,113,Nebraska,Logan County,685
397,20,2022,31,115,Nebraska,Loup County,601
255,15,2022,31,117,Nebraska,McPherson County,379
25879,2621,2022,31,119,Nebraska,Madison County,35414
5562,438,2022,31,121,Nebraska,Merrick County,7715
3159,312,2022,31,123,Nebraska,Morrill County,4522
2426,172,2022,31,125,Nebraska,Nance County,3317
4743,511,2022,31,127,Nebraska,Nemaha County,7036
2643,262,2022,31,129,Nebraska,Nuckolls County,4069
11894,936,2022,31,131,Nebraska,Otoe County,16186
1631,168,2022,31,133,Nebraska,Pawnee County,2531
1911,232,2022,31,135,Nebraska,Perkins County,2827
6575,523,2022,31,137,Nebraska,Phelps County,8988
5517,350,2022,31,139,Nebraska,Pierce County,7317
25153,2499,2022,31,141,Nebraska,Platte County,34355
3634,325,2022,31,143,Nebraska,Polk County,5240
7401,651,2022,31,145,Nebraska,Red Willow County,10528
5309,464,2022,31,147,Nebraska,Richardson County,7730
816,66,2022,31,149,Nebraska,Rock County,1241
10195,1330,2022,31,151,Nebraska,Saline County,14548
163768,7916,2022,31,153,Nebraska,Sarpy County,196427
17801,1000,2022,31,155,Nebraska,Saunders County,23177
25000,2629,2022,31,157,Nebraska,Scotts Bluff County,35769
12474,901,2022,31,159,Nebraska,Seward County,17625
3189,392,2022,31,161,Nebraska,Sheridan County,5006
1989,166,2022,31,163,Nebraska,Sherman County,3006
729,48,2022,31,165,Nebraska,Sioux County,1127
4263,260,2022,31,167,Nebraska,Stanton County,5765
3380,266,2022,31,169,Nebraska,Thayer County,4854
428,40,2022,31,171,Nebraska,Thomas County,665
4459,353,2022,31,173,Nebraska,Thurston County,6555
2744,283,2022,31,175,Nebraska,Valley County,4058
16250,942,2022,31,177,Nebraska,Washington County,21167
6495,466,2022,31,179,Nebraska,Wayne County,9899
2388,181,2022,31,181,Nebraska,Webster County,3339
521,30,2022,31,183,Nebraska,Wheeler County,782
9970,676,2022,31,185,Nebraska,York County,14312
