nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
18532,2129,2022,32,001,Nevada,Churchill County,25798
1680872,263702,2022,32,003,Nevada,Clark County,2322535
30206,3373,2022,32,005,Nevada,Douglas County,49662
41612,4752,2022,32,007,Nevada,Elko County,53979
414,96,2022,32,009,Nevada,Esmeralda County,747
1406,105,2022,32,011,Nevada,Eureka County,1863
12638,1768,2022,32,013,Nevada,Humboldt County,17296
4252,541,2022,32,015,Nevada,Lander County,5761
2845,379,2022,32,017,Nevada,Lincoln County,4440
42450,5980,2022,32,019,Nevada,Lyon County,61628
2823,342,2022,32,021,Nevada,Mineral County,4537
33173,3790,2022,32,023,Nevada,Nye County,54769
3489,401,2022,32,027,Nevada,Pershing County,6450
2376,382,2022,32,029,Nevada,Storey County,4165
353834,52211,2022,32,031,Nevada,Washoe County,496980
5809,561,2022,32,033,Nevada,White Pine County,8746
37448,6210,2022,32,510,Nevada,Carson City,58065
