nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
45710,3368,2022,33,001,New Hampshire,Belknap County,64705
33163,3008,2022,33,003,New Hampshire,Carroll County,52154
54111,3412,2022,33,005,New Hampshire,Cheshire County,77463
20765,1726,2022,33,007,New Hampshire,Coos County,31476
60863,4611,2022,33,009,New Hampshire,Grafton County,93131
327187,23033,2022,33,011,New Hampshire,Hillsborough County,427493
111763,8227,2022,33,013,New Hampshire,Merrimack County,156459
243298,12612,2022,33,015,New Hampshire,Rockingham County,319633
98253,5840,2022,33,017,New Hampshire,Strafford County,132571
31017,2348,2022,33,019,New Hampshire,Sullivan County,43918
