nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
196999,18789,2022,34,001,New Jersey,Atlantic County,275382
719366,52500,2022,34,003,New Jersey,Bergen County,953540
353848,18437,2022,34,005,New Jersey,Burlington County,466101
396015,36563,2022,34,007,New Jersey,Camden County,524649
61835,5184,2022,34,009,New Jersey,Cape May County,95405
106792,12277,2022,34,011,New Jersey,Cumberland County,151347
621719,73992,2022,34,013,New Jersey,Essex County,849724
236071,12527,2022,34,015,New Jersey,Gloucester County,306767
539827,62606,2022,34,017,New Jersey,Hudson County,702381
96797,4460,2022,34,019,New Jersey,Hunterdon County,129805
275555,26336,2022,34,021,New Jersey,Mercer County,380779
643655,50892,2022,34,023,New Jersey,Middlesex County,861094
486194,31531,2022,34,025,New Jersey,Monmouth County,644228
391974,22092,2022,34,027,New Jersey,Morris County,511219
474800,28970,2022,34,029,New Jersey,Ocean County,655663
371160,52024,2022,34,031,New Jersey,Passaic County,513634
48822,3363,2022,34,033,New Jersey,Salem County,65157
269438,14946,2022,34,035,New Jersey,Somerset County,347047
111868,6327,2022,34,037,New Jersey,Sussex County,145575
415687,59908,2022,34,039,New Jersey,Union County,570417
83096,5260,2022,34,041,New Jersey,Warren County,110903
