nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
485986,53218,2022,35,001,New Mexico,Bernalillo County,672957
1973,161,2022,35,003,New Mexico,Catron County,3793
45896,5649,2022,35,005,New Mexico,Chaves County,63892
15915,1610,2022,35,006,New Mexico,Cibola County,26871
7320,829,2022,35,007,New Mexico,Colfax County,12272
35723,4468,2022,35,009,New Mexico,Curry County,47430
1052,156,2022,35,011,New Mexico,De Baca County,1692
158457,21864,2022,35,013,New Mexico,Doña Ana County,223530
45440,5467,2022,35,015,New Mexico,Eddy County,60203
17212,1635,2022,35,017,New Mexico,Grant County,27693
2547,239,2022,35,019,New Mexico,Guadalupe County,4316
337,40,2022,35,021,New Mexico,Harding County,621
2671,322,2022,35,023,New Mexico,Hidalgo County,4011
53504,8231,2022,35,025,New Mexico,Lea County,72343
12099,1619,2022,35,027,New Mexico,Lincoln County,20343
15525,341,2022,35,028,New Mexico,Los Alamos County,19273
17219,2413,2022,35,029,New Mexico,Luna County,25693
41230,6598,2022,35,031,New Mexico,McKinley County,69931
2656,181,2022,35,033,New Mexico,Mora County,4147
47338,4854,2022,35,035,New Mexico,Otero County,68517
5502,624,2022,35,037,New Mexico,Quay County,8529
26992,2696,2022,35,039,New Mexico,Rio Arriba County,39991
13355,1665,2022,35,041,New Mexico,Roosevelt County,18858
109976,9455,2022,35,043,New Mexico,Sandoval County,153597
77499,11337,2022,35,045,New Mexico,San Juan County,120569
17451,1647,2022,35,047,New Mexico,San Miguel County,26902
97223,13318,2022,35,049,New Mexico,Santa Fe County,155761
6468,650,2022,35,051,New Mexico,Sierra County,11474
10262,1196,2022,35,053,New Mexico,Socorro County,16111
21145,2703,2022,35,055,New Mexico,Taos County,34590
10456,1039,2022,35,057,New Mexico,Torrance County,15383
2309,319,2022,35,059,New Mexico,Union County,3982
54797,6668,2022,35,061,New Mexico,Valencia County,78201
