nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
232469,11047,2022,36,001,New York,Albany County,315921
30773,1640,2022,36,003,New York,Allegany County,46726
1054154,83167,2022,36,005,New York,Bronx County,1381808
139617,7719,2022,36,007,New York,Broome County,197258
54473,3839,2022,36,009,New York,Cattaraugus County,76050
53295,3427,2022,36,011,New York,Cayuga County,74679
89818,5530,2022,36,013,New York,Chautauqua County,125344
60044,3019,2022,36,015,New York,Chemung County,81641
34070,1708,2022,36,017,New York,Chenango County,46331
56224,3026,2022,36,019,New York,Clinton County,78037
42099,2457,2022,36,021,New York,Columbia County,61108
33232,1631,2022,36,023,New York,Cortland County,46081
29246,1778,2022,36,025,New York,Delaware County,44774
217249,10632,2022,36,027,New York,Dutchess County,297609
711447,32293,2022,36,029,New York,Erie County,948423
24640,1417,2022,36,031,New York,Essex County,36763
32121,2073,2022,36,033,New York,Franklin County,46393
38686,2366,2022,36,035,New York,Fulton County,52256
42858,1969,2022,36,037,New York,Genesee County,57398
32798,1738,2022,36,039,New York,Greene County,47345
3076,289,2022,36,041,New York,Hamilton County,5121
43693,2177,2022,36,043,New York,Herkimer County,59584
87710,4441,2022,36,045,New York,Jefferson County,115461
2003711,138828,2022,36,047,New York,Kings County,2589531
19907,1128,2022,36,049,New York,Lewis County,26595
43381,1928,2022,36,051,New York,Livingston County,61340
47183,2007,2022,36,053,New York,Madison County,67054
564904,24517,2022,36,055,New York,Monroe County,750887
37695,1978,2022,36,057,New York,Montgomery County,49333
1063662,48971,2022,36,059,New York,Nassau County,1385294
1203441,59806,2022,36,061,New York,New York County,1594543
157471,7329,2022,36,063,New York,Niagara County,210467
166808,7908,2022,36,065,New York,Oneida County,228358
352044,16280,2022,36,067,New York,Onondaga County,469728
81791,3659,2022,36,069,New York,Ontario County,112481
318650,18429,2022,36,071,New York,Orange County,406491
28746,1725,2022,36,073,New York,Orleans County,39163
87579,4657,2022,36,075,New York,Oswego County,118239
38355,2033,2022,36,077,New York,Otsego County,60409
75253,3487,2022,36,079,New York,Putnam County,98312
1670880,159501,2022,36,081,New York,Queens County,2278558
119631,5486,2022,36,083,New York,Rensselaer County,159421
381984,19984,2022,36,085,New York,Richmond County,491358
266782,14692,2022,36,087,New York,Rockland County,340357
73082,4682,2022,36,089,New York,St. Lawrence County,107089
182422,7101,2022,36,091,New York,Saratoga County,238468
121402,5781,2022,36,093,New York,Schenectady County,159694
20491,1085,2022,36,095,New York,Schoharie County,30091
12731,744,2022,36,097,New York,Schuyler County,17609
23025,1480,2022,36,099,New York,Seneca County,32586
69341,3428,2022,36,101,New York,Steuben County,92505
1162114,69884,2022,36,103,New York,Suffolk County,1527974
57409,3700,2022,36,105,New York,Sullivan County,79735
35339,1538,2022,36,107,New York,Tioga County,47766
70655,3479,2022,36,109,New York,Tompkins County,104299
127986,9607,2022,36,111,New York,Ulster County,182320
46859,2434,2022,36,113,New York,Warren County,65427
43178,2455,2022,36,115,New York,Washington County,60810
68013,3894,2022,36,117,New York,Wayne County,90958
751260,42115,2022,36,119,New York,Westchester County,991736
27681,1331,2022,36,121,New York,Wyoming County,39601
16246,1739,2022,36,123,New York,Yates County,24502
