nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
122087,17569,2022,37,001,North Carolina,Alamance County,176618
24495,3317,2022,37,003,North Carolina,Alexander County,36316
6481,1356,2022,37,005,North Carolina,Alleghany County,11193
13684,1949,2022,37,007,North Carolina,Anson County,21958
16817,2648,2022,37,009,North Carolina,Ashe County,27062
9639,1795,2022,37,011,North Carolina,Avery County,17541
28579,3974,2022,37,013,North Carolina,Beaufort County,44400
9869,1307,2022,37,015,North Carolina,Bertie County,17068
18620,3024,2022,37,017,North Carolina,Bladen County,29391
90555,10343,2022,37,019,North Carolina,Brunswick County,152908
183215,27643,2022,37,021,North Carolina,Buncombe County,273790
57707,8987,2022,37,023,North Carolina,Burke County,87972
183877,17729,2022,37,025,North Carolina,Cabarrus County,235909
54523,8211,2022,37,027,North Carolina,Caldwell County,80347
8427,875,2022,37,029,North Carolina,Camden County,11090
44083,6159,2022,37,031,North Carolina,Carteret County,69326
13831,1972,2022,37,033,North Carolina,Caswell County,22431
115078,15622,2022,37,035,North Carolina,Catawba County,163167
52399,6778,2022,37,037,North Carolina,Chatham County,79939
17341,2696,2022,37,039,North Carolina,Cherokee County,29459
8911,1153,2022,37,041,North Carolina,Chowan County,13898
6695,1024,2022,37,043,North Carolina,Clay County,11615
70435,8671,2022,37,045,North Carolina,Cleveland County,100653
31432,5003,2022,37,047,North Carolina,Columbus County,50075
68510,8447,2022,37,049,North Carolina,Craven County,101087
245139,29113,2022,37,051,North Carolina,Cumberland County,336781
23253,2536,2022,37,053,North Carolina,Currituck County,31008
25587,3170,2022,37,055,North Carolina,Dare County,37987
121049,16994,2022,37,057,North Carolina,Davidson County,172380
30765,3510,2022,37,059,North Carolina,Davie County,44115
32421,6022,2022,37,061,North Carolina,Duplin County,48934
238666,28260,2022,37,063,North Carolina,Durham County,333292
32483,4056,2022,37,065,North Carolina,Edgecombe County,48389
274219,35601,2022,37,067,North Carolina,Forsyth County,389661
52181,7618,2022,37,069,North Carolina,Franklin County,74400
170584,21544,2022,37,071,North Carolina,Gaston County,233970
7214,729,2022,37,073,North Carolina,Gates County,10370
4944,974,2022,37,075,North Carolina,Graham County,8032
41474,5654,2022,37,077,North Carolina,Granville County,61702
10966,2390,2022,37,079,North Carolina,Greene County,20367
386489,43406,2022,37,081,North Carolina,Guilford County,546457
30438,4247,2022,37,083,North Carolina,Halifax County,47711
102891,13834,2022,37,085,North Carolina,Harnett County,138478
40840,5652,2022,37,087,North Carolina,Haywood County,62615
74341,11712,2022,37,089,North Carolina,Henderson County,118298
11753,1581,2022,37,091,North Carolina,Hertford County,19634
40863,5138,2022,37,093,North Carolina,Hoke County,53691
2273,529,2022,37,095,North Carolina,Hyde County,4656
146608,16078,2022,37,097,North Carolina,Iredell County,195874
25167,4685,2022,37,099,North Carolina,Jackson County,43922
