nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
1375,118,2022,38,001,North Dakota,Adams County,2133
7354,489,2022,38,003,North Dakota,Barnes County,10761
3958,282,2022,38,005,North Dakota,Benson County,5772
721,60,2022,38,007,North Dakota,Billings County,1025
4245,366,2022,38,009,North Dakota,Bottineau County,6384
1978,207,2022,38,011,North Dakota,Bowman County,2899
1540,124,2022,38,013,North Dakota,Burke County,2132
73493,4597,2022,38,015,North Dakota,Burleigh County,99396
148776,11535,2022,38,017,North Dakota,Cass County,192713
2451,155,2022,38,019,North Dakota,Cavalier County,3608
3452,329,2022,38,021,North Dakota,Dickey County,4928
1506,120,2022,38,023,North Dakota,Divide County,2169
2903,327,2022,38,025,North Dakota,Dunn County,3994
1623,138,2022,38,027,North Dakota,Eddy County,2307
2116,189,2022,38,029,North Dakota,Emmons County,3254
2354,202,2022,38,031,North Dakota,Foster County,3380
1132,88,2022,38,033,North Dakota,Golden Valley County,1746
54832,3774,2022,38,035,North Dakota,Grand Forks County,72421
1447,92,2022,38,037,North Dakota,Grant County,2238
1445,96,2022,38,039,North Dakota,Griggs County,2249
1631,139,2022,38,041,North Dakota,Hettinger County,2411
1621,132,2022,38,043,North Dakota,Kidder County,2381
2675,293,2022,38,045,North Dakota,LaMoure County,4076
1272,84,2022,38,047,North Dakota,Logan County,1838
3823,222,2022,38,049,North Dakota,McHenry County,5195
1598,143,2022,38,051,North Dakota,McIntosh County,2495
11260,1036,2022,38,053,North Dakota,McKenzie County,13889
6626,521,2022,38,055,North Dakota,McLean County,9858
5989,426,2022,38,057,North Dakota,Mercer County,8327
25710,1837,2022,38,059,North Dakota,Morton County,33705
6602,887,2022,38,061,North Dakota,Mountrail County,9241
2002,147,2022,38,063,North Dakota,Nelson County,2999
1297,77,2022,38,065,North Dakota,Oliver County,1862
4620,395,2022,38,067,North Dakota,Pembina County,6745
2732,150,2022,38,069,North Dakota,Pierce County,3931
7982,658,2022,38,071,North Dakota,Ramsey County,11516
4073,321,2022,38,073,North Dakota,Ransom County,5647
1622,129,2022,38,075,North Dakota,Renville County,2250
11508,897,2022,38,077,North Dakota,Richland County,16574
7493,873,2022,38,079,North Dakota,Rolette County,11867
2756,148,2022,38,081,North Dakota,Sargent County,3804
766,77,2022,38,083,North Dakota,Sheridan County,1286
2544,192,2022,38,085,North Dakota,Sioux County,3686
442,29,2022,38,087,North Dakota,Slope County,682
25734,2088,2022,38,089,North Dakota,Stark County,32718
1239,75,2022,38,091,North Dakota,Steele County,1793
14686,1053,2022,38,093,North Dakota,Stutsman County,21476
1343,141,2022,38,095,North Dakota,Towner County,2060
5724,394,2022,38,097,North Dakota,Traill County,7955
7185,870,2022,38,099,North Dakota,Walsh County,10460
53743,3714,2022,38,101,North Dakota,Ward County,68788
2622,185,2022,38,103,North Dakota,Wells County,3922
30412,3350,2022,38,105,North Dakota,Williams County,37966
