nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
20244,1973,2022,39,001,Ohio,Adams County,27459
74152,5424,2022,39,003,Ohio,Allen County,101097
37541,3140,2022,39,005,Ohio,Ashland County,52024
67938,7014,2022,39,007,Ohio,Ashtabula County,96960
41628,3821,2022,39,009,Ohio,Athens County,60881
34916,1989,2022,39,011,Ohio,Auglaize County,45946
44732,3499,2022,39,013,Ohio,Belmont County,65495
32497,2647,2022,39,015,Ohio,Brown County,43700
298395,20921,2022,39,017,Ohio,Butler County,389728
18848,1777,2022,39,019,Ohio,Carroll County,26686
29118,2044,2022,39,021,Ohio,Champaign County,38743
98121,8268,2022,39,023,Ohio,Clark County,134732
161333,10750,2022,39,025,Ohio,Clermont County,210679
31286,1972,2022,39,027,Ohio,Clinton County,41890
68925,6927,2022,39,029,Ohio,Columbiana County,100569
26207,2872,2022,39,031,Ohio,Coshocton County,36615
29962,2435,2022,39,033,Ohio,Crawford County,41509
905475,68319,2022,39,035,Ohio,Cuyahoga County,1236994
37768,3023,2022,39,037,Ohio,Darke County,51526
28291,1975,2022,39,039,Ohio,Defiance County,38128
184710,7781,2022,39,041,Ohio,Delaware County,226526
53242,3625,2022,39,043,Ohio,Erie County,74514
125862,8177,2022,39,045,Ohio,Fairfield County,162956
21386,1991,2022,39,047,Ohio,Fayette County,28832
1028185,91985,2022,39,049,Ohio,Franklin County,1321730
31706,2110,2022,39,051,Ohio,Fulton County,42158
20938,1902,2022,39,053,Ohio,Gallia County,29030
67432,6820,2022,39,055,Ohio,Geauga County,95491
125533,7003,2022,39,057,Ohio,Greene County,169027
27772,2509,2022,39,059,Ohio,Guernsey County,38060
626756,41310,2022,39,061,Ohio,Hamilton County,824721
56091,3870,2022,39,063,Ohio,Hancock County,74774
21806,2038,2022,39,065,Ohio,Hardin County,30391
10134,972,2022,39,067,Ohio,Harrison County,14351
20666,1320,2022,39,069,Ohio,Henry County,27526
31913,3012,2022,39,071,Ohio,Highland County,43426
20365,1882,2022,39,073,Ohio,Hocking County,27818
24499,13088,2022,39,075,Ohio,Holmes County,44375
43568,3773,2022,39,077,Ohio,Huron County,58219
24433,2259,2022,39,079,Ohio,Jackson County,32611
44826,3099,2022,39,081,Ohio,Jefferson County,64273
43969,4177,2022,39,083,Ohio,Knox County,63196
169273,11284,2022,39,085,Ohio,Lake County,231736
42242,3165,2022,39,087,Ohio,Lawrence County,56572
138824,8924,2022,39,089,Ohio,Licking County,181765
34795,2366,2022,39,091,Ohio,Logan County,46062
231017,18288,2022,39,093,Ohio,Lorain County,316031
320842,23855,2022,39,095,Ohio,Lucas County,426719
30218,2319,2022,39,097,Ohio,Madison County,43581
159413,10858,2022,39,099,Ohio,Mahoning County,225922
44529,3250,2022,39,101,Ohio,Marion County,64609
138710,8908,2022,39,103,Ohio,Medina County,183489
15773,1518,2022,39,105,Ohio,Meigs County,21961
31756,2249,2022,39,107,Ohio,Mercer County,42424
83717,5216,2022,39,109,Ohio,Miami County,110213
9328,793,2022,39,111,Ohio,Monroe County,13215
391687,31932,2022,39,113,Ohio,Montgomery County,533474
9778,950,2022,39,115,Ohio,Morgan County,13669
26314,2177,2022,39,117,Ohio,Morrow County,35336
64699,4717,2022,39,119,Ohio,Muskingum County,86114
7705,730,2022,39,121,Ohio,Noble County,14325
27067,1923,2022,39,123,Ohio,Ottawa County,39968
13795,1197,2022,39,125,Ohio,Paulding County,18762
26769,2220,2022,39,127,Ohio,Perry County,35471
43686,3138,2022,39,129,Ohio,Pickaway County,60007
20404,1581,2022,39,131,Ohio,Pike County,27012
119276,7959,2022,39,133,Ohio,Portage County,161742
30373,1955,2022,39,135,Ohio,Preble County,40574
26225,1602,2022,39,137,Ohio,Putnam County,34330
86902,6778,2022,39,139,Ohio,Richland County,125261
54540,3953,2022,39,141,Ohio,Ross County,76508
43794,2853,2022,39,143,Ohio,Sandusky County,58567
52132,4192,2022,39,145,Ohio,Scioto County,72189
39631,2673,2022,39,147,Ohio,Seneca County,54534
36371,2716,2022,39,149,Ohio,Shelby County,47684
274360,18934,2022,39,151,Ohio,Stark County,372785
398576,28096,2022,39,153,Ohio,Summit County,535769
140074,13193,2022,39,155,Ohio,Trumbull County,200726
66739,6303,2022,39,157,Ohio,Tuscarawas County,91971
53478,2368,2022,39,159,Ohio,Union County,66876
21510,1369,2022,39,161,Ohio,Van Wert County,28804
9226,899,2022,39,163,Ohio,Vinton County,12577
199301,9229,2022,39,165,Ohio,Warren County,249735
41452,3376,2022,39,167,Ohio,Washington County,58868
80040,11549,2022,39,169,Ohio,Wayne County,116552
26518,1925,2022,39,171,Ohio,Williams County,36648
100253,5804,2022,39,173,Ohio,Wood County,131642
16052,1014,2022,39,175,Ohio,Wyandot County,21552
