nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
12706,2460,2022,40,001,Oklahoma,Adair County,19516
2943,518,2022,40,003,Oklahoma,Alfalfa County,5689
8132,1770,2022,40,005,Oklahoma,Atoka County,14327
3229,807,2022,40,007,Oklahoma,Beaver County,5019
13790,2530,2022,40,009,Oklahoma,Beckham County,21976
5636,1027,2022,40,011,Oklahoma,Blaine County,8445
31881,6728,2022,40,013,Oklahoma,Bryan County,48038
14836,2927,2022,40,015,Oklahoma,Caddo County,26237
129794,14841,2022,40,017,Oklahoma,Canadian County,169254
33543,6393,2022,40,019,Oklahoma,Carter County,48336
29950,6194,2022,40,021,Oklahoma,Cherokee County,48074
9355,1703,2022,40,023,Oklahoma,Choctaw County,14407
1445,251,2022,40,025,Oklahoma,Cimarron County,2233
216646,28519,2022,40,027,Oklahoma,Cleveland County,299484
3335,794,2022,40,029,Oklahoma,Coal County,5291
85121,12376,2022,40,031,Oklahoma,Comanche County,122225
3753,602,2022,40,033,Oklahoma,Cotton County,5449
8837,1609,2022,40,035,Oklahoma,Craig County,14176
51271,7677,2022,40,037,Oklahoma,Creek County,72686
19273,3473,2022,40,039,Oklahoma,Custer County,28039
24357,5179,2022,40,041,Oklahoma,Delaware County,41480
3027,537,2022,40,043,Oklahoma,Dewey County,4404
2355,417,2022,40,045,Oklahoma,Ellis County,3683
42799,7957,2022,40,047,Oklahoma,Garfield County,61951
17508,3412,2022,40,049,Oklahoma,Garvin County,25771
39639,6165,2022,40,051,Oklahoma,Grady County,56648
2766,445,2022,40,053,Oklahoma,Grant County,4122
3316,471,2022,40,055,Oklahoma,Greer County,5546
1580,338,2022,40,057,Oklahoma,Harmon County,2416
2042,460,2022,40,059,Oklahoma,Harper County,3165
7553,1486,2022,40,061,Oklahoma,Haskell County,11667
7757,1355,2022,40,063,Oklahoma,Hughes County,13434
17489,2878,2022,40,065,Oklahoma,Jackson County,24659
3627,640,2022,40,067,Oklahoma,Jefferson County,5408
6864,1105,2022,40,069,Oklahoma,Johnston County,10346
29399,4825,2022,40,071,Oklahoma,Kay County,43738
10399,2242,2022,40,073,Oklahoma,Kingfisher County,15228
5683,915,2022,40,075,Oklahoma,Kiowa County,8480
6108,1032,2022,40,077,Oklahoma,Latimer County,9556
30946,7298,2022,40,079,Oklahoma,Le Flore County,49002
23317,4278,2022,40,081,Oklahoma,Lincoln County,34134
36413,5415,2022,40,083,Oklahoma,Logan County,51924
6891,1345,2022,40,085,Oklahoma,Love County,10174
32976,5242,2022,40,087,Oklahoma,McClain County,45410
20693,4058,2022,40,089,Oklahoma,McCurtain County,30773
11638,2463,2022,40,091,Oklahoma,McIntosh County,19403
4919,983,2022,40,093,Oklahoma,Major County,7536
9963,2277,2022,40,095,Oklahoma,Marshall County,15921
26793,4329,2022,40,097,Oklahoma,Mayes County,39570
8776,1719,2022,40,099,Oklahoma,Murray County,13681
43029,7705,2022,40,101,Oklahoma,Muskogee County,66307
7487,1051,2022,40,103,Oklahoma,Noble County,10845
6451,1043,2022,40,105,Oklahoma,Nowata County,9413
6745,1197,2022,40,107,Oklahoma,Okfuskee County,11227
574697,100497,2022,40,109,Oklahoma,Oklahoma County,803103
24415,4306,2022,40,111,Oklahoma,Okmulgee County,37011
29555,4632,2022,40,113,Oklahoma,Osage County,45852
19767,3788,2022,40,115,Oklahoma,Ottawa County,30329
10658,1763,2022,40,117,Oklahoma,Pawnee County,15681
54239,9119,2022,40,119,Oklahoma,Payne County,82701
27619,5085,2022,40,121,Oklahoma,Pittsburg County,43476
25515,4937,2022,40,123,Oklahoma,Pontotoc County,38032
49612,8161,2022,40,125,Oklahoma,Pottawatomie County,73351
6673,1285,2022,40,127,Oklahoma,Pushmataha County,10709
2206,333,2022,40,129,Oklahoma,Roger Mills County,3337
70558,10146,2022,40,131,Oklahoma,Rogers County,99060
14984,3267,2022,40,133,Oklahoma,Seminole County,23464
26164,5185,2022,40,135,Oklahoma,Sequoyah County,39801
29586,4987,2022,40,137,Oklahoma,Stephens County,43616
14241,3296,2022,40,139,Oklahoma,Texas County,20505
4541,964,2022,40,141,Oklahoma,Tillman County,6971
485544,80299,2022,40,143,Oklahoma,Tulsa County,677061
62867,8662,2022,40,145,Oklahoma,Wagoner County,86697
36691,5250,2022,40,147,Oklahoma,Washington County,53238
7357,1262,2022,40,149,Oklahoma,Washita County,10736
5421,781,2022,40,151,Oklahoma,Woods County,8602
12852,2584,2022,40,153,Oklahoma,Woodward County,20015
