nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
11061,865,2022,41,001,Oregon,Baker County,16937
70721,4281,2022,41,003,Oregon,Benton County,97661
322889,19215,2022,41,005,Oregon,Clackamas County,423118
28360,2704,2022,41,007,Oregon,Clatsop County,41652
39883,2945,2022,41,009,Oregon,Columbia County,53607
43023,3461,2022,41,011,Oregon,Coos County,64923
18446,1210,2022,41,013,Oregon,Crook County,26377
13863,1226,2022,41,015,Oregon,Curry County,23613
151684,11563,2022,41,017,Oregon,Deschutes County,206483
76655,5708,2022,41,019,Oregon,Douglas County,112290
1295,107,2022,41,021,Oregon,Gilliam County,2008
4502,402,2022,41,023,Oregon,Grant County,7225
5037,426,2022,41,025,Oregon,Harney County,7532
17449,2273,2022,41,027,Oregon,Hood River County,24035
156284,13038,2022,41,029,Oregon,Jackson County,221669
16976,1490,2022,41,031,Oregon,Jefferson County,25324
58785,4948,2022,41,033,Oregon,Josephine County,87800
48910,4795,2022,41,035,Oregon,Klamath County,70190
5183,578,2022,41,037,Oregon,Lake County,8373
274675,23635,2022,41,039,Oregon,Lane County,382181
31186,2993,2022,41,041,Oregon,Lincoln County,50752
96563,8318,2022,41,043,Oregon,Linn County,130622
21055,2333,2022,41,045,Oregon,Malheur County,31858
252217,28814,2022,41,047,Oregon,Marion County,346719
9020,1078,2022,41,049,Oregon,Morrow County,12292
626282,47913,2022,41,051,Oregon,Multnomah County,794563
66215,5199,2022,41,053,Oregon,Polk County,89593
1354,103,2022,41,055,Oregon,Sherman County,1947
17912,1591,2022,41,057,Oregon,Tillamook County,27521
57208,5517,2022,41,059,Oregon,Umatilla County,80261
18810,1489,2022,41,061,Oregon,Union County,26165
4963,434,2022,41,063,Oregon,Wallowa County,7650
18434,2127,2022,41,065,Oregon,Wasco County,26555
481119,30965,2022,41,067,Oregon,Washington County,600086
813,82,2022,41,069,Oregon,Wheeler County,1435
76788,7061,2022,41,071,Oregon,Yamhill County,108362
