nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
73414,5562,2022,42,001,Pennsylvania,Adams County,105959
910523,44941,2022,42,003,Pennsylvania,Allegheny County,1232605
46306,2746,2022,42,005,Pennsylvania,Armstrong County,64704
121045,6244,2022,42,007,Pennsylvania,Beaver County,165737
33365,2653,2022,42,009,Pennsylvania,Bedford County,47421
317852,25740,2022,42,011,Pennsylvania,Berks County,431573
86722,5852,2022,42,013,Pennsylvania,Blair County,120734
42638,3500,2022,42,015,Pennsylvania,Bradford County,59854
483741,26839,2022,42,017,Pennsylvania,Bucks County,645557
145183,6471,2022,42,019,Pennsylvania,Butler County,197368
90737,4879,2022,42,021,Pennsylvania,Cambria County,131429
2905,224,2022,42,023,Pennsylvania,Cameron County,4406
46998,3453,2022,42,025,Pennsylvania,Carbon County,65493
107410,7130,2022,42,027,Pennsylvania,Centre County,157533
415044,25312,2022,42,029,Pennsylvania,Chester County,546638
25474,2249,2022,42,031,Pennsylvania,Clarion County,37227
53800,3692,2022,42,033,Pennsylvania,Clearfield County,77824
26369,2451,2022,42,035,Pennsylvania,Clinton County,37776
45828,2939,2022,42,037,Pennsylvania,Columbia County,65289
55213,6146,2022,42,039,Pennsylvania,Crawford County,82405
194259,10864,2022,42,041,Pennsylvania,Cumberland County,268532
215858,15989,2022,42,043,Pennsylvania,Dauphin County,288687
428658,24441,2022,42,045,Pennsylvania,Delaware County,575873
21713,1398,2022,42,047,Pennsylvania,Elk County,30467
193352,12659,2022,42,049,Pennsylvania,Erie County,268840
88987,6152,2022,42,051,Pennsylvania,Fayette County,125368
2474,207,2022,42,053,Pennsylvania,Forest County,6603
113682,10579,2022,42,055,Pennsylvania,Franklin County,156951
10541,684,2022,42,057,Pennsylvania,Fulton County,14554
23452,1605,2022,42,059,Pennsylvania,Greene County,34529
27817,1728,2022,42,061,Pennsylvania,Huntingdon County,43297
56038,4798,2022,42,063,Pennsylvania,Indiana County,83064
30955,2885,2022,42,065,Pennsylvania,Jefferson County,43731
16176,2128,2022,42,067,Pennsylvania,Juniata County,23281
156313,9669,2022,42,069,Pennsylvania,Lackawanna County,215750
385516,53259,2022,42,071,Pennsylvania,Lancaster County,556660
59818,4376,2022,42,073,Pennsylvania,Lawrence County,84812
101842,10937,2022,42,075,Pennsylvania,Lebanon County,143902
282658,22156,2022,42,077,Pennsylvania,Lehigh County,376274
235895,16976,2022,42,079,Pennsylvania,Luzerne County,326496
80110,5863,2022,42,081,Pennsylvania,Lycoming County,113034
27589,1779,2022,42,083,Pennsylvania,McKean County,39819
74146,5609,2022,42,085,Pennsylvania,Mercer County,109137
31603,4063,2022,42,087,Pennsylvania,Mifflin County,45984
123128,9029,2022,42,089,Pennsylvania,Monroe County,167451
658722,29952,2022,42,091,Pennsylvania,Montgomery County,865044
13160,611,2022,42,093,Pennsylvania,Montour County,18054
227857,13945,2022,42,095,Pennsylvania,Northampton County,317900
63433,4531,2022,42,097,Pennsylvania,Northumberland County,90123
32907,3586,2022,42,099,Pennsylvania,Perry County,46113
1169370,97955,2022,42,101,Pennsylvania,Philadelphia County,1566836
42625,3116,2022,42,103,Pennsylvania,Pike County,60576
11133,840,2022,42,105,Pennsylvania,Potter County,16206
100197,7735,2022,42,107,Pennsylvania,Schuylkill County,143188
26293,2931,2022,42,109,Pennsylvania,Snyder County,39506
48020,3969,2022,42,111,Pennsylvania,Somerset County,72629
3554,312,2022,42,113,Pennsylvania,Sullivan County,5845
25851,2536,2022,42,115,Pennsylvania,Susquehanna County,38139
27912,2303,2022,42,117,Pennsylvania,Tioga County,40967
25239,2458,2022,42,119,Pennsylvania,Union County,42690
34778,2420,2022,42,121,Pennsylvania,Venango County,49734
26513,1649,2022,42,123,Pennsylvania,Warren County,37818
152767,8978,2022,42,125,Pennsylvania,Washington County,209940
33051,2629,2022,42,127,Pennsylvania,Wayne County,51084
251307,12510,2022,42,129,Pennsylvania,Westmoreland County,351998
18597,1014,2022,42,131,Pennsylvania,Wyoming County,26024
348973,21211,2022,42,133,Pennsylvania,York County,461049
