nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
15850,2073,2022,45,001,South Carolina,Abbeville County,24338
120670,14391,2022,45,003,South Carolina,Aiken County,174228
4103,648,2022,45,005,South Carolina,Allendale County,7418
148699,19408,2022,45,007,South Carolina,Anderson County,209652
7710,1248,2022,45,009,South Carolina,Bamberg County,12950
13666,1981,2022,45,011,South Carolina,Barnwell County,20471
117556,14556,2022,45,013,South Carolina,Beaufort County,196147
183770,19671,2022,45,015,South Carolina,Berkeley County,244952
9348,1119,2022,45,017,South Carolina,Calhoun County,14197
302755,32423,2022,45,019,South Carolina,Charleston County,419350
39811,5170,2022,45,021,South Carolina,Cherokee County,56121
22399,2764,2022,45,023,South Carolina,Chester County,31993
30120,4273,2022,45,025,South Carolina,Chesterfield County,43741
18724,2754,2022,45,027,South Carolina,Clarendon County,30927
25913,4044,2022,45,029,South Carolina,Colleton County,38580
42783,5393,2022,45,031,South Carolina,Darlington County,62436
18987,2883,2022,45,033,South Carolina,Dillon County,27747
124374,14422,2022,45,035,South Carolina,Dorchester County,166050
16722,2399,2022,45,037,South Carolina,Edgefield County,26959
13496,1471,2022,45,039,South Carolina,Fairfield County,20450
96516,11372,2022,45,041,South Carolina,Florence County,136740
38595,5182,2022,45,043,South Carolina,Georgetown County,64669
400512,46580,2022,45,045,South Carolina,Greenville County,547845
46448,6069,2022,45,047,South Carolina,Greenwood County,69223
11164,1731,2022,45,049,South Carolina,Hampton County,18136
233814,40248,2022,45,051,South Carolina,Horry County,383147
19169,3618,2022,45,053,South Carolina,Jasper County,31986
48802,5503,2022,45,055,South Carolina,Kershaw County,67850
72530,7666,2022,45,057,South Carolina,Lancaster County,104724
46230,6742,2022,45,059,South Carolina,Laurens County,67951
9848,1274,2022,45,061,South Carolina,Lee County,16161
225103,26036,2022,45,063,South Carolina,Lexington County,305105
4673,501,2022,45,065,South Carolina,McCormick County,9741
18792,2666,2022,45,067,South Carolina,Marion County,28471
15718,2082,2022,45,069,South Carolina,Marlboro County,26006
25226,3461,2022,45,071,South Carolina,Newberry County,38315
52012,7981,2022,45,073,South Carolina,Oconee County,80160
53356,6630,2022,45,075,South Carolina,Orangeburg County,83101
90230,11801,2022,45,077,South Carolina,Pickens County,133470
299234,31804,2022,45,079,South Carolina,Richland County,421526
12650,2068,2022,45,081,South Carolina,Saluda County,18984
247048,34559,2022,45,083,South Carolina,Spartanburg County,345948
73120,8690,2022,45,085,South Carolina,Sumter County,103936
18194,2320,2022,45,087,South Carolina,Union County,26739
18750,2312,2022,45,089,South Carolina,Williamsburg County,30113
223840,21792,2022,45,091,South Carolina,York County,294201
