nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
1894,235,2022,46,003,South Dakota,Aurora County,2762
13591,2017,2022,46,005,South Dakota,Beadle County,19488
2114,351,2022,46,007,South Dakota,Bennett County,3333
3931,393,2022,46,009,South Dakota,Bon Homme County,7064
25624,2127,2022,46,011,South Dakota,Brookings County,35491
27202,2990,2022,46,013,South Dakota,Brown County,37901
3586,557,2022,46,015,South Dakota,Brule County,5301
1181,174,2022,46,017,South Dakota,Buffalo County,1854
7342,1224,2022,46,019,South Dakota,Butte County,10790
825,92,2022,46,021,South Dakota,Campbell County,1355
5806,1068,2022,46,023,South Dakota,Charles Mix County,9232
2677,278,2022,46,025,South Dakota,Clark County,3923
9916,1114,2022,46,027,South Dakota,Clay County,15301
20572,2398,2022,46,029,South Dakota,Codington County,28736
2552,293,2022,46,031,South Dakota,Corson County,3817
5216,780,2022,46,033,South Dakota,Custer County,9021
13900,1721,2022,46,035,South Dakota,Davison County,19907
3426,491,2022,46,037,South Dakota,Day County,5475
3044,323,2022,46,039,South Dakota,Deuel County,4361
3176,679,2022,46,041,South Dakota,Dewey County,5142
1811,266,2022,46,043,South Dakota,Douglas County,2787
2818,296,2022,46,045,South Dakota,Edmunds County,4071
4338,636,2022,46,047,South Dakota,Fall River County,7397
1390,166,2022,46,049,South Dakota,Faulk County,2122
5027,584,2022,46,051,South Dakota,Grant County,7486
2450,437,2022,46,053,South Dakota,Gregory County,3999
1202,139,2022,46,055,South Dakota,Haakon County,1834
4764,637,2022,46,057,South Dakota,Hamlin County,6394
2090,239,2022,46,059,South Dakota,Hand County,3112
2650,256,2022,46,061,South Dakota,Hanson County,3479
919,117,2022,46,063,South Dakota,Harding County,1339
12481,1026,2022,46,065,South Dakota,Hughes County,17681
5172,518,2022,46,067,South Dakota,Hutchinson County,7351
795,76,2022,46,069,South Dakota,Hyde County,1199
1808,349,2022,46,071,South Dakota,Jackson County,2832
1058,102,2022,46,073,South Dakota,Jerauld County,1662
588,58,2022,46,075,South Dakota,Jones County,875
3647,404,2022,46,077,South Dakota,Kingsbury County,5279
7050,741,2022,46,079,South Dakota,Lake County,10940
17647,2219,2022,46,081,South Dakota,Lawrence County,27240
56871,3996,2022,46,083,South Dakota,Lincoln County,71024
2322,383,2022,46,085,South Dakota,Lyman County,3705
4159,515,2022,46,087,South Dakota,McCook County,5768
1525,133,2022,46,089,South Dakota,McPherson County,2396
2975,348,2022,46,091,South Dakota,Marshall County,4363
22480,2107,2022,46,093,South Dakota,Meade County,30702
1190,200,2022,46,095,South Dakota,Mellette County,1873
1567,186,2022,46,097,South Dakota,Miner County,2285
156182,15880,2022,46,099,South Dakota,Minnehaha County,203845
4344,580,2022,46,101,South Dakota,Moody County,6382
8095,1285,2022,46,102,South Dakota,Oglala Lakota County,13508
78469,9456,2022,46,103,South Dakota,Pennington County,114306
1799,238,2022,46,105,South Dakota,Perkins County,2809
1610,146,2022,46,107,South Dakota,Potter County,2446
6150,1070,2022,46,109,South Dakota,Roberts County,10139
1672,203,2022,46,111,South Dakota,Sanborn County,2403
4201,519,2022,46,115,South Dakota,Spink County,6228
2065,236,2022,46,117,South Dakota,Stanley County,3017
1005,70,2022,46,119,South Dakota,Sully County,1482
5821,881,2022,46,121,South Dakota,Todd County,9233
3371,650,2022,46,123,South Dakota,Tripp County,5579
6255,671,2022,46,125,South Dakota,Turner County,8888
12812,1026,2022,46,127,South Dakota,Union County,17063
3355,470,2022,46,129,South Dakota,Walworth County,5286
15322,1715,2022,46,135,South Dakota,Yankton County,23412
1590,214,2022,46,137,South Dakota,Ziebach County,2394
