nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
55911,6751,2022,47,001,Tennessee,Anderson County,78929
37674,5586,2022,47,003,Tennessee,Bedford County,51964
10429,1576,2022,47,005,Tennessee,Benton County,15994
8233,1581,2022,47,007,Tennessee,Bledsoe County,14824
97295,12341,2022,47,009,Tennessee,Blount County,139810
79304,10032,2022,47,011,Tennessee,Bradley County,110539
27300,3775,2022,47,013,Tennessee,Campbell County,39564
10531,1530,2022,47,015,Tennessee,Cannon County,14807
19628,2063,2022,47,017,Tennessee,Carroll County,28418
36836,5709,2022,47,019,Tennessee,Carter County,56485
30872,4165,2022,47,021,Tennessee,Cheatham County,41764
11863,1526,2022,47,023,Tennessee,Chester County,17558
21755,2840,2022,47,025,Tennessee,Claiborne County,32357
4929,711,2022,47,027,Tennessee,Clay County,7656
24875,3651,2022,47,029,Tennessee,Cocke County,36849
43470,5450,2022,47,031,Tennessee,Coffee County,59779
9677,1471,2022,47,033,Tennessee,Crockett County,13862
37219,5514,2022,47,035,Tennessee,Cumberland County,63482
514678,75008,2022,47,037,Tennessee,Davidson County,707351
7760,1017,2022,47,039,Tennessee,Decatur County,11549
14600,2326,2022,47,041,Tennessee,DeKalb County,21002
40812,5243,2022,47,043,Tennessee,Dickson County,55727
26286,3120,2022,47,045,Tennessee,Dyer County,36440
29736,3252,2022,47,047,Tennessee,Fayette County,43338
12800,1875,2022,47,049,Tennessee,Fentress County,19335
29543,3377,2022,47,051,Tennessee,Franklin County,44119
36376,4880,2022,47,053,Tennessee,Gibson County,50826
21115,2597,2022,47,055,Tennessee,Giles County,30540
16726,2196,2022,47,057,Tennessee,Grainger County,24185
47310,6443,2022,47,059,Tennessee,Greene County,71292
9343,1478,2022,47,061,Tennessee,Grundy County,13779
46153,7051,2022,47,063,Tennessee,Hamblen County,65167
266618,32251,2022,47,065,Tennessee,Hamilton County,374602
4585,539,2022,47,067,Tennessee,Hancock County,6846
15021,1757,2022,47,069,Tennessee,Hardeman County,25511
17828,2596,2022,47,071,Tennessee,Hardin County,27065
39937,5030,2022,47,073,Tennessee,Hawkins County,57903
11720,1581,2022,47,075,Tennessee,Haywood County,17518
19798,2586,2022,47,077,Tennessee,Henderson County,27907
21566,2827,2022,47,079,Tennessee,Henry County,32382
17072,2607,2022,47,081,Tennessee,Hickman County,25481
5643,842,2022,47,083,Tennessee,Houston County,8247
13000,1858,2022,47,085,Tennessee,Humphreys County,19023
7813,1255,2022,47,087,Tennessee,Jackson County,12015
38734,5265,2022,47,089,Tennessee,Jefferson County,56660
10652,1637,2022,47,091,Tennessee,Johnson County,18046
365659,39550,2022,47,093,Tennessee,Knox County,495380
3224,517,2022,47,095,Tennessee,Lake County,6500
16299,2136,2022,47,097,Tennessee,Lauderdale County,24741
32350,4874,2022,47,099,Tennessee,Lawrence County,45502
8672,1458,2022,47,101,Tennessee,Lewis County,12912
25416,3170,2022,47,103,Tennessee,Lincoln County,36006
37318,4706,2022,47,105,Tennessee,Loudon County,58244
37834,5231,2022,47,107,Tennessee,McMinn County,54695
17726,2655,2022,47,109,Tennessee,McNairy County,25993
18581,3089,2022,47,111,Tennessee,Macon County,26214
67870,8229,2022,47,113,Tennessee,Madison County,99172
20104,2706,2022,47,115,Tennessee,Marion County,29050
26684,3194,2022,47,117,Tennessee,Marshall County,35857
80115,8822,2022,47,119,Tennessee,Maury County,107996
9241,1115,2022,47,121,Tennessee,Meigs County,13258
32573,4371,2022,47,123,Tennessee,Monroe County,47680
188420,19561,2022,47,125,Tennessee,Montgomery County,234899
4754,516,2022,47,127,Tennessee,Moore County,6716
13432,1918,2022,47,129,Tennessee,Morgan County,21207
20646,3072,2022,47,131,Tennessee,Obion County,30374
15936,2261,2022,47,133,Tennessee,Overton County,22993
5784,974,2022,47,135,Tennessee,Perry County,8705
3040,614,2022,47,137,Tennessee,Pickett County,5103
12126,1794,2022,47,139,Tennessee,Polk County,17778
58527,7354,2022,47,141,Tennessee,Putnam County,82470
23229,3535,2022,47,143,Tennessee,Rhea County,33689
38434,3733,2022,47,145,Tennessee,Roane County,55129
56141,7389,2022,47,147,Tennessee,Robertson County,75398
284966,31605,2022,47,149,Tennessee,Rutherford County,360682
15477,2392,2022,47,151,Tennessee,Scott County,21999
11023,1934,2022,47,153,Tennessee,Sequatchie County,16918
65938,11809,2022,47,155,Tennessee,Sevier County,98806
663154,85214,2022,47,157,Tennessee,Shelby County,916357
14917,2016,2022,47,159,Tennessee,Smith County,20470
9680,1373,2022,47,161,Tennessee,Stewart County,13994
110851,13008,2022,47,163,Tennessee,Sullivan County,160862
153655,16252,2022,47,165,Tennessee,Sumner County,203721
46135,4908,2022,47,167,Tennessee,Tipton County,61650
7381,750,2022,47,169,Tennessee,Trousdale County,12077
11864,1435,2022,47,171,Tennessee,Unicoi County,17591
14348,2109,2022,47,173,Tennessee,Union County,20473
4265,534,2022,47,175,Tennessee,Van Buren County,6430
29068,5028,2022,47,177,Tennessee,Warren County,42001
93550,12720,2022,47,179,Tennessee,Washington County,136147
9852,1250,2022,47,181,Tennessee,Wayne County,16266
22095,2898,2022,47,183,Tennessee,Weakley County,33043
19034,3115,2022,47,185,Tennessee,White County,28000
212728,12759,2022,47,187,Tennessee,Williamson County,260738
121579,11620,2022,47,189,Tennessee,Wilson County,158593
