nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
29440,6314,2022,48,001,Texas,Anderson County,57227
12636,3747,2022,48,003,Texas,Andrews County,18324
56367,13772,2022,48,005,Texas,Angelina County,87124
14040,3643,2022,48,007,Texas,Aransas County,24963
5798,1166,2022,48,009,Texas,Archer County,8849
1263,165,2022,48,011,Texas,Armstrong County,1857
34244,8671,2022,48,013,Texas,Atascosa County,50736
19701,4646,2022,48,015,Texas,Austin County,31070
4101,1485,2022,48,017,Texas,Bailey County,6803
12553,3032,2022,48,019,Texas,Bandera County,22120
69317,18163,2022,48,021,Texas,Bastrop County,106395
2221,441,2022,48,023,Texas,Baylor County,3462
16057,3061,2022,48,025,Texas,Bee County,30992
278580,54731,2022,48,027,Texas,Bell County,387454
1442511,315888,2022,48,029,Texas,Bexar County,2060191
7440,1656,2022,48,031,Texas,Blanco County,12411
394,60,2022,48,033,Texas,Borden County,580
11108,2835,2022,48,035,Texas,Bosque County,18707
59270,11546,2022,48,037,Texas,Bowie County,91712
279631,49082,2022,48,039,Texas,Brazoria County,388234
165751,30835,2022,48,041,Texas,Brazos County,241931
5084,1491,2022,48,043,Texas,Brewster County,9344
867,237,2022,48,045,Texas,Briscoe County,1439
4291,936,2022,48,047,Texas,Brooks County,6902
23978,5177,2022,48,049,Texas,Brown County,38443
11528,3079,2022,48,051,Texas,Burleson County,18690
31593,7667,2022,48,053,Texas,Burnet County,52567
29907,8810,2022,48,055,Texas,Caldwell County,47849
13027,2623,2022,48,057,Texas,Calhoun County,19682
9164,1989,2022,48,059,Texas,Callahan County,14247
267125,90076,2022,48,061,Texas,Cameron County,424911
8170,2067,2022,48,063,Texas,Camp County,12721
3892,695,2022,48,065,Texas,Carson County,5816
18059,3867,2022,48,067,Texas,Cass County,28538
4436,1502,2022,48,069,Texas,Castro County,7287
38758,6300,2022,48,071,Texas,Chambers County,51309
32253,7840,2022,48,073,Texas,Cherokee County,51432
3634,819,2022,48,075,Texas,Childress County,6841
6707,1289,2022,48,077,Texas,Clay County,10499
1606,493,2022,48,079,Texas,Cochran County,2522
2020,449,2022,48,081,Texas,Coke County,3322
4551,1254,2022,48,083,Texas,Coleman County,7822
907041,107877,2022,48,085,Texas,Collin County,1158995
1527,536,2022,48,087,Texas,Collingsworth County,2585
12225,3560,2022,48,089,Texas,Colorado County,20832
130675,20078,2022,48,091,Texas,Comal County,184749
8245,2308,2022,48,093,Texas,Comanche County,13921
1401,277,2022,48,095,Texas,Concho County,3367
27762,6255,2022,48,097,Texas,Cooke County,43048
