nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
5082,715,2022,49,001,Utah,Beaver County,7317
49191,4213,2022,49,003,Utah,Box Elder County,61523
112275,9840,2022,49,005,Utah,Cache County,140145
14954,1470,2022,49,007,Utah,Carbon County,20540
693,51,2022,49,009,Utah,Daggett County,1015
310215,19966,2022,49,011,Utah,Davis County,369887
15241,1978,2022,49,013,Utah,Duchesne County,20142
7407,834,2022,49,015,Utah,Emery County,10093
3481,416,2022,49,017,Utah,Garfield County,5258
6628,1006,2022,49,019,Utah,Grand County,9771
46479,5860,2022,49,021,Utah,Iron County,62508
9936,1070,2022,49,023,Utah,Juab County,12586
5459,635,2022,49,025,Utah,Kane County,8203
9517,1344,2022,49,027,Utah,Millard County,13343
10629,692,2022,49,029,Utah,Morgan County,12837
916,124,2022,49,031,Utah,Piute County,1493
1851,239,2022,49,033,Utah,Rich County,2649
929237,107811,2022,49,035,Utah,Salt Lake County,1186569
9013,1408,2022,49,037,Utah,San Juan County,14406
20032,2513,2022,49,039,Utah,Sanpete County,29691
15830,2105,2022,49,041,Utah,Sevier County,22043
33487,3274,2022,49,043,Utah,Summit County,43045
66726,5577,2022,49,045,Utah,Tooele County,79955
28036,3889,2022,49,047,Utah,Uintah County,37104
585200,51194,2022,49,049,Utah,Utah County,702692
28971,2633,2022,49,051,Utah,Wasatch County,36597
133880,17723,2022,49,053,Utah,Washington County,197730
1726,304,2022,49,055,Utah,Wayne County,2634
213845,21029,2022,49,057,Utah,Weber County,269460
