nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
25259,1168,2022,50,001,Vermont,Addison County,37555
25939,1427,2022,50,003,Vermont,Bennington County,37343
21781,1229,2022,50,005,Vermont,Caledonia County,30587
128064,5832,2022,50,007,Vermont,Chittenden County,169357
4088,226,2022,50,009,Vermont,Essex County,5997
39419,2028,2022,50,011,Vermont,Franklin County,50719
5501,300,2022,50,013,Vermont,Grand Isle County,7490
19587,1200,2022,50,015,Vermont,Lamoille County,26103
21278,1094,2022,50,017,Vermont,Orange County,29880
19365,1088,2022,50,019,Vermont,Orleans County,27562
42050,2345,2022,50,021,Vermont,Rutland County,60353
43658,2123,2022,50,023,Vermont,Washington County,60115
31219,1749,2022,50,025,Vermont,Windham County,45899
40847,2209,2022,50,027,Vermont,Windsor County,58150
