nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
21304,2618,2022,51,001,Virginia,Accomack County,33223
79270,5551,2022,51,003,Virginia,Albemarle County,114845
10145,702,2022,51,005,Virginia,Alleghany County,14715
9428,1105,2022,51,007,Virginia,Amelia County,13368
22079,1864,2022,51,009,Virginia,Amherst County,31472
11983,1157,2022,51,011,Virginia,Appomattox County,16703
195938,9897,2022,51,013,Virginia,Arlington County,233678
53386,4250,2022,51,015,Virginia,Augusta County,77939
2647,194,2022,51,017,Virginia,Bath County,4061
57253,4706,2022,51,019,Virginia,Bedford County,80741
3694,265,2022,51,021,Virginia,Bland County,6138
24378,1358,2022,51,023,Virginia,Botetourt County,34100
9199,960,2022,51,025,Virginia,Brunswick County,15831
12094,1325,2022,51,027,Virginia,Buchanan County,19383
10217,1173,2022,51,029,Virginia,Buckingham County,16988
39461,3158,2022,51,031,Virginia,Campbell County,55065
23842,2073,2022,51,033,Virginia,Caroline County,31940
19354,2120,2022,51,035,Virginia,Carroll County,29118
4175,539,2022,51,036,Virginia,Charles City County,6568
7940,741,2022,51,037,Virginia,Charlotte County,11400
289067,21750,2022,51,041,Virginia,Chesterfield County,378290
10820,919,2022,51,043,Virginia,Clarke County,15331
3367,282,2022,51,045,Virginia,Craig County,4858
40085,3911,2022,51,047,Virginia,Culpeper County,54290
6801,562,2022,51,049,Virginia,Cumberland County,9751
9150,847,2022,51,051,Virginia,Dickenson County,13733
20620,1587,2022,51,053,Virginia,Dinwiddie County,28099
7175,785,2022,51,057,Virginia,Essex County,10630
890019,73301,2022,51,059,Virginia,Fairfax County,1139309
57507,4355,2022,51,061,Virginia,Fauquier County,74677
10898,898,2022,51,063,Virginia,Floyd County,15623
19736,1235,2022,51,065,Virginia,Fluvanna County,28117
37085,3162,2022,51,067,Virginia,Franklin County,55079
70178,6272,2022,51,069,Virginia,Frederick County,94808
11862,912,2022,51,071,Virginia,Giles County,16432
28777,2501,2022,51,073,Virginia,Gloucester County,39550
18079,742,2022,51,075,Virginia,Goochland County,26162
9675,752,2022,51,077,Virginia,Grayson County,15325
15580,1502,2022,51,079,Virginia,Greene County,21015
5646,351,2022,51,081,Virginia,Greensville County,11204
22156,2133,2022,51,083,Virginia,Halifax County,33620
84879,4998,2022,51,085,Virginia,Hanover County,112860
254292,18502,2022,51,087,Virginia,Henrico County,334553
33573,3083,2022,51,089,Virginia,Henry County,49795
1306,120,2022,51,091,Virginia,Highland County,2296
30003,1988,2022,51,093,Virginia,Isle of Wight County,40135
55356,3511,2022,51,095,Virginia,James City County,81483
4614,483,2022,51,097,Virginia,King and Queen County,6714
22256,1511,2022,51,099,Virginia,King George County,27918
14183,1082,2022,51,101,Virginia,King William County,18529
5811,666,2022,51,103,Virginia,Lancaster County,10806
14055,1272,2022,51,105,Virginia,Lee County,21847
365574,21644,2022,51,107,Virginia,Loudoun County,432792
28972,2599,2022,51,109,Virginia,Louisa County,40030
7313,887,2022,51,111,Virginia,Lunenburg County,12002
9655,1003,2022,51,113,Virginia,Madison County,14008
5317,412,2022,51,115,Virginia,Mathews County,8450
19419,2015,2022,51,117,Virginia,Mecklenburg County,30527
6352,801,2022,51,119,Virginia,Middlesex County,10952
70332,4539,2022,51,121,Virginia,Montgomery County,98826
9069,1256,2022,51,125,Virginia,Nelson County,14747
18368,1485,2022,51,127,Virginia,New Kent County,24952
7387,812,2022,51,131,Virginia,Northampton County,11978
6918,751,2022,51,133,Virginia,Northumberland County,12278
9830,1016,2022,51,135,Virginia,Nottoway County,15555
27781,2379,2022,51,137,Virginia,Orange County,38055
16726,1653,2022,51,139,Virginia,Page County,23777
11485,1027,2022,51,141,Virginia,Patrick County,17601
39710,3788,2022,51,143,Virginia,Pittsylvania County,59824
22722,1534,2022,51,145,Virginia,Powhatan County,31585
12805,1174,2022,51,147,Virginia,Prince Edward County,21899
25910,1779,2022,51,149,Virginia,Prince George County,43021
387634,42752,2022,51,153,Virginia,Prince William County,487012
23258,1609,2022,51,155,Virginia,Pulaski County,33683
4838,512,2022,51,157,Virginia,Rappahannock County,7453
5152,548,2022,51,159,Virginia,Richmond County,9126
68974,4814,2022,51,161,Virginia,Roanoke County,96756
14808,1160,2022,51,163,Virginia,Rockbridge County,22568
60197,6140,2022,51,165,Virginia,Rockingham County,85414
17703,1578,2022,51,167,Virginia,Russell County,25437
14269,1106,2022,51,169,Virginia,Scott County,21480
31803,2990,2022,51,171,Virginia,Shenandoah County,44936
20565,1768,2022,51,173,Virginia,Smyth County,29408
11686,859,2022,51,175,Virginia,Southampton County,17899
114444,9934,2022,51,177,Virginia,Spotsylvania County,146828
133473,8504,2022,51,179,Virginia,Stafford County,163169
4497,313,2022,51,181,Virginia,Surry County,6527
5941,508,2022,51,183,Virginia,Sussex County,10640
26570,2302,2022,51,185,Virginia,Tazewell County,39563
30670,2888,2022,51,187,Virginia,Warren County,41404
36060,2833,2022,51,191,Virginia,Washington County,53855
12214,1337,2022,51,193,Virginia,Westmoreland County,18765
23758,2140,2022,51,195,Virginia,Wise County,35327
20190,1575,2022,51,197,Virginia,Wythe County,28115
54374,3501,2022,51,199,Virginia,York County,71164
123614,10860,2022,51,510,Virginia,Alexandria city,155045
11898,1025,2022,51,520,Virginia,Bristol city,16940
4482,352,2022,51,530,Virginia,Buena Vista city,6569
34074,2952,2022,51,540,Virginia,Charlottesville city,45272
197027,14428,2022,51,550,Virginia,Chesapeake city,252459
13698,1038,2022,51,570,Virginia,Colonial Heights city,18278
4191,311,2022,51,580,Virginia,Covington city,5633
28754,2628,2022,51,590,Virginia,Danville city,42017
3847,355,2022,51,595,Virginia,Emporia city,5533
19324,1857,2022,51,600,Virginia,Fairfax city,24752
11976,480,2022,51,610,Virginia,Falls Church city,14489
5993,462,2022,51,620,Virginia,Franklin city,8274
21203,2021,2022,51,630,Virginia,Fredericksburg city,28648
4975,549,2022,51,640,Virginia,Galax city,6702
103420,6695,2022,51,650,Virginia,Hampton city,137858
34006,5158,2022,51,660,Virginia,Harrisonburg city,51150
17448,1397,2022,51,670,Virginia,Hopewell city,22790
3606,151,2022,51,678,Virginia,Lexington city,7506
53742,4069,2022,51,680,Virginia,Lynchburg city,79228
32381,5255,2022,51,683,Virginia,Manassas city,42673
12826,2097,2022,51,685,Virginia,Manassas Park city,16693
10053,850,2022,51,690,Virginia,Martinsville city,13697
137952,10581,2022,51,700,Virginia,Newport News city,183980
164657,14608,2022,51,710,Virginia,Norfolk city,232558
2764,174,2022,51,720,Virginia,Norton city,3589
24445,1996,2022,51,730,Virginia,Petersburg city,33462
9680,505,2022,51,735,Virginia,Poquoson city,12624
72508,5494,2022,51,740,Virginia,Portsmouth city,96954
11126,699,2022,51,750,Virginia,Radford city,16719
167447,15679,2022,51,760,Virginia,Richmond city,228367
71870,6690,2022,51,770,Virginia,Roanoke city,97657
17770,1040,2022,51,775,Virginia,Salem city,25700
18224,1419,2022,51,790,Virginia,Staunton city,25940
76206,5184,2022,51,800,Virginia,Suffolk city,98426
350542,27259,2022,51,810,Virginia,Virginia Beach city,455069
16916,1632,2022,51,820,Virginia,Waynesboro city,22799
7655,650,2022,51,830,Virginia,Williamsburg city,15685
19815,2337,2022,51,840,Virginia,Winchester city,27861
