nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
15693,2381,2022,53,001,Washington,Adams County,20898
15521,1130,2022,53,003,Washington,Asotin County,22536
163455,14793,2022,53,005,Washington,Benton County,212829
54455,7995,2022,53,007,Washington,Chelan County,80038
47095,4825,2022,53,009,Washington,Clallam County,77684
402259,29756,2022,53,011,Washington,Clark County,516737
2636,218,2022,53,013,Washington,Columbia County,4026
83025,6714,2022,53,015,Washington,Cowlitz County,112064
30987,4630,2022,53,017,Washington,Douglas County,44223
4603,448,2022,53,019,Washington,Ferry County,7468
73926,11462,2022,53,021,Washington,Franklin County,98582
1606,121,2022,53,023,Washington,Garfield County,2357
74107,11031,2022,53,025,Washington,Grant County,101580
51001,5581,2022,53,027,Washington,Grays Harbor County,77041
58122,4184,2022,53,029,Washington,Island County,86682
18195,1561,2022,53,031,Washington,Jefferson County,33570
1829186,111216,2022,53,033,Washington,King County,2265311
202871,15437,2022,53,035,Washington,Kitsap County,277813
33893,3094,2022,53,037,Washington,Kittitas County,45122
15620,1669,2022,53,039,Washington,Klickitat County,23303
60861,6047,2022,53,041,Washington,Lewis County,85357
7874,679,2022,53,043,Washington,Lincoln County,11613
44601,5205,2022,53,045,Washington,Mason County,68171
26907,5025,2022,53,047,Washington,Okanogan County,43460
14299,1579,2022,53,049,Washington,Pacific County,24095
9435,790,2022,53,051,Washington,Pend Oreille County,14138
733138,52009,2022,53,053,Washington,Pierce County,926479
10786,1184,2022,53,055,Washington,San Juan County,18672
92551,8643,2022,53,057,Washington,Skagit County,131322
8793,644,2022,53,059,Washington,Skamania County,12455
668850,48345,2022,53,061,Washington,Snohomish County,840452
419493,27701,2022,53,063,Washington,Spokane County,549740
32821,2774,2022,53,065,Washington,Stevens County,48283
226817,16367,2022,53,067,Washington,Thurston County,298639
2837,290,2022,53,069,Washington,Wahkiakum County,4688
41679,3893,2022,53,071,Washington,Walla Walla County,61853
169311,14275,2022,53,073,Washington,Whatcom County,230598
34551,2465,2022,53,075,Washington,Whitman County,47579
184238,29775,2022,53,077,Washington,Yakima County,257019
