nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
10750,881,2022,54,001,West Virginia,Barbour County,15391
101387,7842,2022,54,003,West Virginia,Berkeley County,129379
15110,1118,2022,54,005,West Virginia,Boone County,20907
8125,723,2022,54,007,West Virginia,Braxton County,12170
14919,895,2022,54,009,West Virginia,Brooke County,21694
66208,5610,2022,54,011,West Virginia,Cabell County,92485
4154,338,2022,54,013,West Virginia,Calhoun County,6069
5648,441,2022,54,015,West Virginia,Clay County,7840
4518,375,2022,54,017,West Virginia,Doddridge County,7712
27033,2291,2022,54,019,West Virginia,Fayette County,39388
4044,403,2022,54,021,West Virginia,Gilmer County,7330
7518,707,2022,54,023,West Virginia,Grant County,10938
22354,2096,2022,54,025,West Virginia,Greenbrier County,32375
15993,1430,2022,54,027,West Virginia,Hampshire County,23457
19854,1516,2022,54,029,West Virginia,Hancock County,28254
10044,877,2022,54,031,West Virginia,Hardy County,14168
47350,3939,2022,54,033,West Virginia,Harrison County,64752
20289,1548,2022,54,035,West Virginia,Jackson County,27667
44777,3083,2022,54,037,West Virginia,Jefferson County,59001
125566,10204,2022,54,039,West Virginia,Kanawha County,175864
12266,948,2022,54,041,West Virginia,Lewis County,16674
14592,1137,2022,54,043,West Virginia,Lincoln County,19851
21836,1994,2022,54,045,West Virginia,Logan County,31206
10756,1252,2022,54,047,West Virginia,McDowell County,17806
40651,3059,2022,54,049,West Virginia,Marion County,55784
20618,1379,2022,54,051,West Virginia,Marshall County,29667
17544,1208,2022,54,053,West Virginia,Mason County,24911
41222,3555,2022,54,055,West Virginia,Mercer County,58612
19337,1096,2022,54,057,West Virginia,Mineral County,26902
16167,1702,2022,54,059,West Virginia,Mingo County,22445
80170,5313,2022,54,061,West Virginia,Monongalia County,106978
8413,741,2022,54,063,West Virginia,Monroe County,12322
12059,988,2022,54,065,West Virginia,Morgan County,17435
17056,1455,2022,54,067,West Virginia,Nicholas County,24309
28580,2004,2022,54,069,West Virginia,Ohio County,41463
3890,394,2022,54,071,West Virginia,Pendleton County,6067
5179,316,2022,54,073,West Virginia,Pleasants County,7570
4882,534,2022,54,075,West Virginia,Pocahontas County,7797
21841,2004,2022,54,077,West Virginia,Preston County,34222
42806,2712,2022,54,079,West Virginia,Putnam County,57063
49890,4253,2022,54,081,West Virginia,Raleigh County,72801
17773,1423,2022,54,083,West Virginia,Randolph County,27552
5778,538,2022,54,085,West Virginia,Ritchie County,8230
9668,952,2022,54,087,West Virginia,Roane County,13833
7040,635,2022,54,089,West Virginia,Summers County,11702
11569,935,2022,54,091,West Virginia,Taylor County,16410
4245,435,2022,54,093,West Virginia,Tucker County,6620
5805,344,2022,54,095,West Virginia,Tyler County,8090
16354,1314,2022,54,097,West Virginia,Upshur County,23705
27075,2329,2022,54,099,West Virginia,Wayne County,37980
5641,450,2022,54,101,West Virginia,Webster County,8141
10122,685,2022,54,103,West Virginia,Wetzel County,13994
3653,283,2022,54,105,West Virginia,Wirt County,5092
60009,5089,2022,54,107,West Virginia,Wood County,83388
14328,1457,2022,54,109,West Virginia,Wyoming County,20572
