nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
12200,1134,2022,55,001,Wisconsin,Adams County,21252
11003,877,2022,55,003,Wisconsin,Ashland County,16040
32911,2653,2022,55,005,Wisconsin,Barron County,46715
10364,908,2022,55,007,Wisconsin,Bayfield County,16659
205206,14534,2022,55,009,Wisconsin,Brown County,270068
9547,649,2022,55,011,Wisconsin,Buffalo County,13390
10600,865,2022,55,013,Wisconsin,Burnett County,16988
41715,1826,2022,55,015,Wisconsin,Calumet County,52712
48480,3338,2022,55,017,Wisconsin,Chippewa County,66753
22730,5694,2022,55,019,Wisconsin,Clark County,34732
43249,2819,2022,55,021,Wisconsin,Columbia County,58228
10637,805,2022,55,023,Wisconsin,Crawford County,16015
449946,21519,2022,55,025,Wisconsin,Dane County,567758
63380,4000,2022,55,027,Wisconsin,Dodge County,88374
19053,1504,2022,55,029,Wisconsin,Door County,30551
32342,1944,2022,55,031,Wisconsin,Douglas County,44226
33363,1983,2022,55,033,Wisconsin,Dunn County,45622
80405,4776,2022,55,035,Wisconsin,Eau Claire County,106786
3078,233,2022,55,037,Wisconsin,Florence County,4706
76223,4536,2022,55,039,Wisconsin,Fond du Lac County,103812
6134,644,2022,55,041,Wisconsin,Forest County,9332
35715,3380,2022,55,043,Wisconsin,Grant County,51315
27350,1852,2022,55,045,Wisconsin,Green County,36885
13229,1258,2022,55,047,Wisconsin,Green Lake County,19208
18016,927,2022,55,049,Wisconsin,Iowa County,23958
3906,256,2022,55,051,Wisconsin,Iron County,6199
14247,1087,2022,55,053,Wisconsin,Jackson County,20893
62315,4048,2022,55,055,Wisconsin,Jefferson County,85725
18068,1433,2022,55,057,Wisconsin,Juneau County,26775
129294,8988,2022,55,059,Wisconsin,Kenosha County,167637
15078,939,2022,55,061,Wisconsin,Kewaunee County,20653
90380,4830,2022,55,063,Wisconsin,La Crosse County,120252
11983,1389,2022,55,065,Wisconsin,Lafayette County,16906
13306,1096,2022,55,067,Wisconsin,Langlade County,19502
20108,1397,2022,55,069,Wisconsin,Lincoln County,28355
58863,3736,2022,55,071,Wisconsin,Manitowoc County,81198
103222,7518,2022,55,073,Wisconsin,Marathon County,137955
29142,2062,2022,55,075,Wisconsin,Marinette County,41966
10765,784,2022,55,077,Wisconsin,Marquette County,15777
2786,114,2022,55,078,Wisconsin,Menominee County,4206
702435,58782,2022,55,079,Wisconsin,Milwaukee County,918078
34110,3188,2022,55,081,Wisconsin,Monroe County,45894
28648,1905,2022,55,083,Wisconsin,Oconto County,39696
25362,1867,2022,55,085,Wisconsin,Oneida County,38193
150117,8246,2022,55,087,Wisconsin,Outagamie County,192269
68680,2936,2022,55,089,Wisconsin,Ozaukee County,93021
5121,496,2022,55,091,Wisconsin,Pepin County,7378
31909,1697,2022,55,093,Wisconsin,Pierce County,42552
32634,2508,2022,55,095,Wisconsin,Polk County,45546
51591,3492,2022,55,097,Wisconsin,Portage County,70634
9380,715,2022,55,099,Wisconsin,Price County,14159
146131,11274,2022,55,101,Wisconsin,Racine County,195961
11752,1012,2022,55,103,Wisconsin,Richland County,17128
125123,8881,2022,55,105,Wisconsin,Rock County,163841
9580,825,2022,55,107,Wisconsin,Rusk County,14099
76910,3871,2022,55,109,Wisconsin,St. Croix County,95967
48338,3970,2022,55,111,Wisconsin,Sauk County,65770
11578,1122,2022,55,113,Wisconsin,Sawyer County,18521
28817,2382,2022,55,115,Wisconsin,Shawano County,40987
87247,5016,2022,55,117,Wisconsin,Sheboygan County,117661
14500,1200,2022,55,119,Wisconsin,Taylor County,19941
22918,1874,2022,55,121,Wisconsin,Trempealeau County,30891
21256,3020,2022,55,123,Wisconsin,Vernon County,31063
14325,1451,2022,55,125,Wisconsin,Vilas County,23742
75962,6404,2022,55,127,Wisconsin,Walworth County,105664
11093,1012,2022,55,129,Wisconsin,Washburn County,16871
105612,4794,2022,55,131,Wisconsin,Washington County,137756
313032,12688,2022,55,133,Wisconsin,Waukesha County,410273
37570,2633,2022,55,135,Wisconsin,Waupaca County,51510
15940,1544,2022,55,137,Wisconsin,Waushara County,24927
127839,7721,2022,55,139,Wisconsin,Winnebago County,170688
54026,3348,2022,55,141,Wisconsin,Wood County,73778
