nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
26464,4196,2022,56,001,Wyoming,Albany County,38178
7429,1719,2022,56,003,Wyoming,Big Horn County,11879
34651,5960,2022,56,005,Wyoming,Campbell County,47059
9339,1907,2022,56,007,Wyoming,Carbon County,14538
9718,1483,2022,56,009,Wyoming,Converse County,13765
4920,846,2022,56,011,Wyoming,Crook County,7419
24008,5433,2022,56,013,Wyoming,Fremont County,39566
7465,1191,2022,56,015,Wyoming,Goshen County,12636
2758,498,2022,56,017,Wyoming,Hot Springs County,4623
5652,714,2022,56,019,Wyoming,Johnson County,8719
72549,9924,2022,56,021,Wyoming,Laramie County,100781
13847,2793,2022,56,023,Wyoming,Lincoln County,20671
56622,8607,2022,56,025,Wyoming,Natrona County,79523
1262,246,2022,56,027,Wyoming,Niobrara County,2348
19262,3156,2022,56,029,Wyoming,Park County,30505
5320,980,2022,56,031,Wyoming,Platte County,8652
21079,3186,2022,56,033,Wyoming,Sheridan County,32035
5594,1083,2022,56,035,Wyoming,Sublette County,8752
30218,4587,2022,56,037,Wyoming,Sweetwater County,41374
16301,2927,2022,56,039,Wyoming,Teton County,23297
14781,2337,2022,56,041,Wyoming,Uinta County,20727
4947,870,2022,56,043,Wyoming,Washakie County,7724
4135,707,2022,56,045,Wyoming,Weston County,6858
