NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
WPR26FA068,Accident,202203,2025-12-23,Summer Lake,OR,USA,NA,N9540R,D-6103,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,0,0,0,1,0,NA,NA,Accident,42.851771,-120.9811,BEECH,K35,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Maneuvering; Enroute,Ongoing,False,Approved by Office Director,NA,NA,12/23/2025,23-12-2025
WPR26LA086,Accident,202320,2026-01-15,Logsden,OR,USA,NA,N868H,51318,False,Aviation,Aviation,Approved by Office Director,2026-07-15,NA,Serious,0,0,0,1,0,"The inadvertent entanglement of a long line with the skid, which resulted in a loss of flight control. Contributing to the accident was the use of nylon lines instead of steel cables to secure the bucket.",Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Attain/maintain not possible; Personnel issues - Action/decision - Action - Other,Accident,44,-123,BELL,206L-3,Helicopter,NA,NA,False,1,Turbo shaft,False,External load,137,Substantial,Visual (VMC); Visual (VMC),WEYERHAEUSER NR CO,InitialClimb; InitialClimb; InitialClimb,Completed,False,Approved by Office Director,NA,NA,1/15/2026,15-1-2026
WPR26LA133,Accident,202683,2026-03-19,West Linn,OR,USA,NA,N7632H,12-507,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,45.938167,-122.81733,PIPER,PA-12,Airplane,None,Shoreline Goat Island,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Takeoff; Takeoff; Takeoff; Takeoff,Ongoing,False,Approved by Office Director,NA,NA,3/19/2026,19-3-2026
WPR26LA140,Accident,202699,2026-03-16,Hillsboro,OR,USA,NA,N212LG,L2K-135,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,45.540777,-122.95032,LANCAIR,Legacy,Airplane,HIO,PORTLAND-HILLSBORO,True,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,3/16/2026,16-3-2026
WPR26LA165,Accident,202857,2026-04-17,Bend,OR,USA,NA,N7541B,7FC-44,False,Aviation,Aviation,Approved by Office Director,2026-06-25,NA,None,0,0,0,0,0,The pilot’s failure to maintain directional control during landing roll. Contributing to the accident was the rotor wash from a nearby helicopter.,Personnel issues - Task performance - Use of equip/info - Pilot; Environmental issues - Conditions/weather/phenomena - Turbulence - Effect on equipment; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,44.093375,-121.20261,AERONCA,7FC,Airplane,BDN,Bend Municipal Airport,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,4/17/2026,17-4-2026
WPR26LA175,Accident,202932,2026-05-02,Prineville,OR,USA,NA,N145W,B0380,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,44.288277,-120.90557,COSMOS,PHASE II,Weight-shift,S39,PRINEVILLE,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,5/2/2026,2-5-2026
WPR26LA193,Accident,203007,2026-05-14,Pacific City,OR,USA,NA,N9158L,19-71,False,Aviation,Aviation,Approved by Office Director,2026-07-09,NA,None,0,0,0,0,0,The pilot’s loss of directional control during a precautionary landing following a partial reduction in engine rpm.,Aircraft - Aircraft oper/perf/capability - Aircraft capability - Incorrect use/operation; Personnel issues - Task performance - Use of equip/info - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,45.199361,-123.96189,BELLANCA,7ACA,Airplane,PFC,PACIFIC CITY STATE,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing; Landing; Enroute,Completed,False,Approved by Office Director,NA,NA,5/14/2026,14-5-2026
WPR26LA210,Accident,203126,2026-06-03,Salem,OR,USA,NA,N4875K,P21000353,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,44.909528,-123.0025,CESSNA,P210,Airplane,SLE,MCNARY FLD,False,1,NA,False,Personal,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,6/3/2026,3-6-2026
WPR26FA217,Accident,203169,2026-06-12,Hillsboro,OR,USA,NA,N10CF,203,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,0,0,0,1,0,NA,NA,Accident,45.430588,-122.93761,LANCAIR,235,Airplane,7S3,Stark's Twin Oaks Airpark,True,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Takeoff,Ongoing,False,Approved by Office Director,NA,NA,6/12/2026,12-6-2026
WPR26LA221,Accident,203183,2026-06-15,Summer Lake,OR,USA,NA,N399RS,5477,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,42.93,-120.69,SALINAS RICARDO,GLASTAR,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,NA,On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,6/15/2026,15-6-2026
