NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
CEN26LA085,Accident,202273,2026-01-06,Greenbrier,AR,USA,NA,N194JR,CH2-1105-2696,False,Aviation,Aviation,Approved by Office Director,2026-05-14,NA,Minor,0,0,0,1,0,The non-certificated pilot's failure to maintain airplane control during the landing.,Personnel issues - Experience/knowledge - Experience/qualifications - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Environmental issues - Conditions/weather/phenomena - Turbulence - Effect on operation; Personnel issues - Task performance - Use of equip/info - Pilot,Accident,35.178313,-92.334985,QUAD CITY,CHALLENGER,Ultralight,12A,ARKAVALLEY,True,1,Reciprocating,False,Flight test,091,Substantial,Visual (VMC); Visual (VMC),On File,Landing; Landing; Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,1/6/2026,6-1-2026
CEN26FA126,Accident,202558,2026-02-26,Rogers,AR,USA,NA,N30P,F8027,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,1,0,0,1,0,NA,NA,Accident,36.28103,-94.04393,PECK,JODEL-F12,Airplane,NA,NA,True,1,NA,False,Personal,091,Destroyed,Visual (VMC),On File,Enroute; Enroute,Ongoing,False,Approved by Office Director,NA,NA,2/26/2026,26-2-2026
ANC26LA036,Accident,202923,2026-05-03,Russellville,AR,USA,NA,N5235D,50133,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,35.259173,-93.093491,CESSNA,180A,Airplane,RUE,RUSSELLVILLE RGNL,False,1,NA,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,5/3/2026,3-5-2026
CEN26LA201,Accident,203073,2026-05-25,Berryville,AR,USA,NA,N2632L,17255832,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,1,1,2,0,NA,NA,Accident,36.327,-93.617,CESSNA,172H,Airplane,17A,Trigger Gap,False,1,NA,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Takeoff,Ongoing,False,Approved by Office Director,NA,NA,5/25/2026,25-5-2026
CEN26LA209,Accident,203093,2026-05-30,Jonesboro,AR,USA,NA,N90932,432-73,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,1,1,0,NA,NA,Accident,35.72463,-90.84031,BELLANCA,7GCBC,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,NA,HALL AIR INC,Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,5/30/2026,30-5-2026
CEN26LA215,Accident,203103,2026-05-31,Sheridan,AR,USA,NA,N23RA,107,False,Aviation,Aviation,Approved by Office Director,2026-07-30,NA,None,0,0,0,0,0,The pilot’s inadequate preflight inspection which resulted in a total loss of engine power due to fuel exhaustion.,Environmental issues - Physical environment - Object/animal/substance - Contributed to outcome; Aircraft - Fluids/misc hardware - Fluids - Fluid level; Personnel issues - Task performance - Inspection - Pilot,Accident,34.327528,-92.351333,EAA,Acro Sport II,Airplane,9M8,Sheridan-Grant County Regional Airport,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing; Enroute,Completed,False,Approved by Office Director,NA,NA,5/31/2026,31-5-2026
CEN26LA223,Accident,203168,2026-06-11,Bryant,AR,USA,NA,N72RK,T20608315,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,34.575669,-92.493041,CESSNA,T206H,Airplane,SUZ,NA,False,1,NA,False,Aerial observation,091,Substantial,Visual (VMC),AERIAL SERVICES INC,Enroute,Ongoing,False,Approved by Office Director,NA,NA,6/11/2026,11-6-2026
CEN26LA232,Accident,203228,2026-06-23,Holly Grove,AR,USA,NA,N164GR,11051709,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,1,1,0,NA,NA,Accident,34.59593,-91.19984,ROCKY MOUNTAIN KITPLANES LLC,S-6S,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,NA,On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,6/23/2026,23-6-2026
CEN26LA270,Accident,203469,2026-07-23,Arkadelphia,AR,USA,NA,N5258A,P21000841,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,34.099806,-93.066083,CESSNA,P210R,Airplane,ADF,NA,False,1,NA,False,Personal,091,Substantial,NA,BETA AVIATION L L C,Enroute,Ongoing,False,Approved by Office Director,NA,NA,7/23/2026,23-7-2026
CEN26LA278,Accident,203521,2026-08-01,North Little Rock,AR,USA,NA,N3618G,NA,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,NA,NA,CESSNA,310,NA,NA,NA,False,NA,NA,False,NA,091,NA,NA,NA,Landing,Ongoing,False,Approved by Office Director,NA,NA,8/1/2026,1-8-2026
CEN25FA197,Accident,200279,2025-06-06,Grady,AR,USA,NA,N9185F,502-0206,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,1,0,0,1,0,NA,NA,Accident,34.184647,-91.665714,AIR TRACTOR INC,AT-502,Airplane,PVT,N/A,False,1,NA,False,Aerial application,137,Substantial,Visual (VMC),FARM BROTHERS FLYERS A LLC,Takeoff,Ongoing,False,Approved by Office Director,NA,NA,6/6/2025,6-6-2025
CEN25LA200,Accident,200287,2025-06-05,Gibson,AR,USA,NA,N45113,502-0094,False,Aviation,Aviation,Approved by Office Director,2025-09-16,NA,Serious,0,1,0,1,0,The pilot’s loss of control during takeoff due to an encounter with a sudden wind shift.,Environmental issues - Conditions/weather/phenomena - Convective weather - Effect on operation; Environmental issues - Conditions/weather/phenomena - Wind - Effect on operation; Personnel issues - Task performance - Use of equip/info - Pilot,Accident,35.752381,-90.832076,AIR TRACTOR INC,AT-502,Airplane,PVT,Private Strip,False,1,Turbo prop,False,Aerial application,137,Substantial,Visual (VMC),Over and Under Flying Service,Takeoff; Takeoff,Completed,False,Approved by Office Director,NA,NA,6/5/2025,5-6-2025
CEN25LA253,Accident,200559,2025-07-15,Melbourne,AR,USA,NA,N935ER; N935ER,4496195; 4496195,False,Aviation,Aviation,Approved by Office Director,2025-11-14,NA,None,0,0,0,0,0,The flight crew’s failure to use the airplane pre-landing checklist and failure to extend the airplane’s landing gear before landing.,Personnel issues - Task performance - Use of equip/info - Flight crew; Aircraft - Aircraft systems - Landing gear system - Not used/operated,Accident,36.074923,-91.83068,PIPER; PIPER,PA-44-180; PA-44-180,Airplane; Airplane,42A,MELBOURNE MUNI/JOHN E MILLER FLD,False,2,Reciprocating; Reciprocating,False,Instructional,091; 091,Substantial; Substantial,Visual (VMC),Ozarka College; Ozarka College,Landing,Completed,False,Approved by Office Director,NA,NA,7/15/2025,15-7-2025
CEN25LA305,Accident,200726,2025-08-06,Marshall,AR,USA,NA,N983AM,1374,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,35.9105,-92.6316,STOLP STARDUSTER,SA300,Airplane,NA,NA,True,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Enroute,Ongoing,False,Approved by Office Director,NA,NA,8/6/2025,6-8-2025
CEN25FA308,Accident,200733,2025-08-07,Augusta,AR,USA,NA,N35370,T18208094,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,0,0,0,2,0,NA,NA,Accident,35.3012,-91.267185,CESSNA,T182T,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Enroute,Ongoing,False,Approved by Office Director,NA,NA,8/7/2025,7-8-2025
