NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
ERA26LA078,Accident,202217,2025-12-28,Atlanta,GA,USA,NA,N40BA,LJ-444,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,1,1,2,0,NA,NA,Accident,33.927258,-84.278735,BEECH,B90,Airplane,PDK,Dekalb-Peachtree Airport,False,2,NA,False,Positioning,091,Substantial,Visual (VMC),Lux Air,EmergencyDescent; Approach; Landing,Ongoing,False,Approved by Office Director,NA,NA,12/28/2025,28-12-2025
ERA26LA086,Accident,202258,2025-12-12,Atlanta,GA,USA,NA,N37RR,PX1520006,False,Aviation,Aviation,Approved by Office Director,2026-05-14,NA,None,0,0,0,0,0,The pilot’s failure to extend the landing gear before landing.,Aircraft - Aircraft systems - Landing gear system - Not used/operated; Personnel issues - Action/decision - Action - Pilot,Accident,33.78024,-84.520027,PIPISTREL D O O,PANTHERA X152,Airplane,FTY,FULTON COUNTY EXEC/CHARLIE BROWN FLD,True,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),On File,Landing,Completed,False,Approved by Office Director,NA,NA,12/12/2025,12-12-2025
ERA26LA092,Accident,202290,2026-01-09,Flemington,GA,USA,NA,N96493,17276080,False,Aviation,Aviation,Approved by Office Director,2026-05-14,NA,None,0,0,0,0,0,"The pilot’s inadvertent manipulation of the mixture control, which resulted in a total loss of engine power during initial climb and a subsequent forced lading.",Personnel issues - Action/decision - Action - Pilot; Aircraft - Aircraft power plant - Engine controls - Incorrect use/operation,Accident,31.889563,-81.562698,CESSNA,172P,Airplane,LHW,WRIGHT AAF (FORT STEWART)/MIDCOAST RGNL,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),On File,InitialClimb; EmergencyDescent; Landing,Completed,False,Approved by Office Director,NA,NA,1/9/2026,9-1-2026
ERA26LA103,Accident,202370,2026-01-28,Atlanta,GA,USA,NA,N407MD,172S12764,False,Aviation,Aviation,Approved by Office Director,2026-05-21,NA,None,0,0,0,0,0,The student pilot’s improper landing flare which resulted in a hard landing.,Personnel issues - Task performance - Use of equip/info - Student/instructed pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,33.308677,-84.76678,CESSNA,172,Airplane,CCO,NEWNAN COWETA COUNTY,False,1,Reciprocating,False,Instructional,091,Substantial,Visual (VMC),Wings Over Texas,Landing,Completed,False,Approved by Office Director,NA,NA,1/28/2026,28-1-2026
ERA26LA109,Accident,202414,2026-02-09,Gainesville,GA,USA,NA,N229TT,E-3929,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,2,0,2,NA,NA,Accident,34.28636,-83.841469,HAWKER BEECHCRAFT CORP,G36,Airplane,GVL,Lee Gilmer Memorial Airport,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Enroute,Ongoing,False,Approved by Office Director,NA,NA,2/9/2026,9-2-2026
ERA26LA111,Accident,202422,2026-02-06,Thomson,GA,USA,NA,N322MC,8714,False,Aviation,Aviation,Approved by Office Director,2026-05-07,NA,None,0,0,0,0,0,An in-flight collision with a bird while maneuvering.,Environmental issues - Physical environment - Object/animal/substance - Effect on equipment,Accident,33.534146,-82.535903,CIRRUS DESIGN CORP,SR22T,Airplane,HQU,Thomson/McDuffie County Airport,False,1,Reciprocating,False,Instructional,091,Substantial,Visual (VMC),On File,Maneuvering,Completed,False,Approved by Office Director,NA,NA,2/6/2026,6-2-2026
ERA26LA129,Accident,202505,2026-01-13,Savannah,GA,USA,NA,N58GL,TH-2176,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,32.127892,-81.20015,RAYTHEON AIRCRAFT COMPANY,G58,Airplane,SAV,SAVANNAH/HILTON HEAD INTL,False,2,NA,False,Executive/Corporate,091,Substantial,Visual (VMC),Griffing Flying Service,Landing,Ongoing,False,Approved by Office Director,NA,NA,1/13/2026,13-1-2026
DCA26LA139,Incident,202559,2026-02-26,College Park,GA,USA,NA,N354CA,10064,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Incident,33.631736,-84.426296,BOMBARDIER INC,CL-600-2C10,Airplane,ATL,HARTSFIELD/JACKSON ATLANTA INTL,False,2,NA,True,NA,121,Minor,NA,Endeavor Airlines,Landing,Ongoing,False,Approved by Office Director,NA,NA,2/26/2026,26-2-2026
ERA26LA150,Accident,202662,2026-03-14,Athens,GA,USA,NA,N9024P,24-4486,False,Aviation,Aviation,Approved by Office Director,2026-05-07,NA,None,0,0,0,0,0,The pilot’s failure to extend the landing gear before landing.,Personnel issues - Task performance - Use of equip/info - Pilot; Aircraft - Aircraft systems - Landing gear system - Not used/operated; Personnel issues - Action/decision - Action - Pilot,Accident,33.949192,-83.324781,PIPER,PA-24-260,Airplane,AHN,ATHENS/BEN EPPS,False,1,Turbo prop,False,Personal,091,Substantial,Visual (VMC),On File,Landing,Completed,False,Approved by Office Director,NA,NA,3/14/2026,14-3-2026
CEN26FA147,Accident,202696,2026-03-25,Statesboro,GA,USA,NA,N220AS,0050,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,0,0,0,1,0,NA,NA,Accident,32.4735,-81.683333,Experimental Homebuilt,Airshark,Airplane,NA,NA,True,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Unknown,Ongoing,False,Approved by Office Director,NA,NA,3/25/2026,25-3-2026
