NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
ANC26LA008,Accident,202156,2025-12-13,Palmer,AK,USA,NA,N20305,17261176,False,Aviation,Aviation,Approved by Office Director,2026-06-25,NA,None,0,0,0,0,0,The student pilot’s failure to maintain directional control during the landing roll.,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Task performance - Use of equip/info - Student/instructed pilot,Accident,61.588913,-149.08635,CESSNA,172M,Airplane,PAQ,Palmer Municipal Airport,False,1,Reciprocating,False,Instructional,091,Substantial,Visual (VMC),On File,Landing; Landing,Completed,False,Approved by Office Director,NA,NA,12/13/2025,13-12-2025
ANC26LA009,Accident,202287,2026-01-12,Anchorage,AK,USA,NA,N669CW,31-514,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,61.216469,-149.83574,PIPER,PA-31-310,Airplane,MRI,MERRILL FLD,False,2,NA,False,Positioning,091,Substantial,Instrument (IMC),Theodore Chesley,Landing,Ongoing,False,Approved by Office Director,NA,NA,1/12/2026,12-1-2026
ANC26LA010,Accident,202309,2026-01-16,Anchorage,AK,USA,NA,N918MR; N918MR,LM-138; LM-138,False,Aviation,Aviation,Approved by Office Director,2026-06-25,NA,None,0,0,0,0,0,The pilot’s failure to attain proper flare during landing resulting in a hard landing short of the runway threshold. Contributing to the accident were gusting wind conditions.,Personnel issues - Task performance - Use of equip/info - Pilot; Environmental issues - Conditions/weather/phenomena - Wind - Effect on equipment; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,61.215082,-149.85249,BEECH; BEECH,65-A90-1; 65-A90-1,Airplane; Airplane,MRI,Merrill Field,False,2,Turbo prop; Turbo prop,False,Executive/Corporate,091; 091,Substantial; Substantial,Visual (VMC); Visual (VMC),Missionary Aviation Repair Center; Missionary Aviation Repair Center,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,1/16/2026,16-1-2026
ANC26LA011,Accident,202336,2026-01-25,Anchorage,AK,USA,NA,N6333G,15071833,False,Aviation,Aviation,Approved by Office Director,2026-06-25,NA,None,0,0,0,0,0,"The flight instructor’s unintentional selection of the wrong, snow-covered landing surface, which resulted in a nose-over.",Personnel issues - Psychological - Perception/orientation/illusion - Instructor/check pilot; Personnel issues - Action/decision - Info processing/decision - Instructor/check pilot; Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Effect on operation; Personnel issues - Action/decision - Action - Instructor/check pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained,Accident,61.17,-149.96,CESSNA,150K,Airplane,LHD,Lake Hood Seaplane Base,False,1,Reciprocating,False,Instructional,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),On File,Landing; Landing,Completed,False,Approved by Office Director,NA,NA,1/25/2026,25-1-2026
DCA26LA102,Accident,202353,2026-01-15,Kodiak,AK,USA,NA,N583AS; N583AS,35681; 35681,False,Aviation,Aviation,Approved by Office Director,2026-03-17,NA,None,0,0,0,0,0,The reduced surface friction of the contaminated ramp which led to a loss of directional control during taxi.,Personnel issues - Task performance - Use of equip/info - Pilot; Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Effect on operation,Accident,57.749794,-152.49394,BOEING; BOEING,737; 737,Airplane; Airplane,ADQ,KODIAK,False,2,Turbo fan; Turbo fan,False,NA,121; 121,Substantial; Substantial,Visual (VMC),Alaska Airlines; Alaska Airlines,Taxi,Completed,False,Approved by Office Director,NA,NA,1/15/2026,15-1-2026
ANC26LA013,Accident,202367,2026-02-01,Anchorage,AK,USA,NA,N3263Z,227212,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,0,0,1,0,NA,NA,Accident,61.216389,-149.84722,PIPER,PA-22-150,Airplane,MRI,Merrill Field,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Takeoff,Ongoing,False,Approved by Office Director,NA,NA,2/1/2026,1-2-2026
ANC26LA022,Accident,202711,2026-03-28,Skwentna,AK,USA,NA,N94237,18503294,False,Aviation,Aviation,Approved by Office Director,2026-06-25,NA,None,0,0,0,0,0,The pilot’s loss of directional control during landing roll due to contact with wind hardened snow berm and subsequent failure of main landing gear.,Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Effect on equipment; Aircraft - Aircraft systems - Landing gear system - Failure; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Attain/maintain not possible; Personnel issues - Task performance - Use of equip/info - Pilot,Accident,61.897117,-151.61852,CESSNA,A185F,Airplane,NONE,NA,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing; Landing,Completed,False,Approved by Office Director,NA,NA,3/28/2026,28-3-2026
ANC26LA023,Accident,202728,2026-03-30,Cordova,AK,USA,NA,N212PX,1133,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,0,1,0,NA,NA,Accident,60.543384,-145.73078,MARCIL GERRY,SPORTSMAN 2+2,Airplane,CKU,Cordova,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,3/30/2026,30-3-2026
ANC26LA025,Accident,202791,2026-04-09,Anchorage,AK,USA,NA,N394BJ,359,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,61.42,-149.51,JEFFREY BURNETTE,AVID FLYER/HEAVY HAU,Airplane,BCV,NA,False,1,NA,False,Personal,091,Substantial,NA,DYE SAMUEL N,Taxi,Ongoing,False,Approved by Office Director,NA,NA,4/9/2026,9-4-2026
ANC26LA026,Accident,202853,2026-04-16,Juneau,AK,USA,NA,N93021,U20603149,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,0,1,0,NA,NA,Accident,58.51,-134.88,CESSNA,U206F,Airplane,NA,NA,False,1,NA,False,Positioning,091,Substantial,Visual (VMC); Visual (VMC),WARD AIR INC,Enroute,Ongoing,False,Approved by Office Director,NA,NA,4/16/2026,16-4-2026
ANC26LA028,Accident,202871,2026-04-22,Palmer,AK,USA,NA,N4136E,18-7809082,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,61.435471,-148.54935,PIPER,PA-18-150,Airplane,NONE,Gravel river bar,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,4/22/2026,22-4-2026
ANC26LA029,Accident,202873,2026-04-03,Wasilla,AK,USA,NA,N93ML,4114-C,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,61.633748,-149.6818,MAULE,M-7-235,Airplane,6AK9,CIZEK NORTH,False,1,NA,False,Personal,091,Substantial,Visual (VMC),HOPMAN CHRISTOPHER J,InitialClimb,Ongoing,False,Approved by Office Director,NA,NA,4/3/2026,3-4-2026
ANC26LA032,Accident,202882,2026-04-24,Aniak,AK,USA,NA,N92DC,18502828,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,61.58014,-159.54309,CESSNA,A185F,Airplane,ANI,Aniak,False,1,NA,False,Business,091,Substantial,Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,4/24/2026,24-4-2026
ANC26LA034,Accident,202913,2026-04-30,Palmer,AK,USA,NA,N3982Z,18-7925,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,61.569027,-149.03857,PIPER,PA-18S-150,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,4/30/2026,30-4-2026
ANC26LA037,Accident,202942,2026-05-06,Palmer,AK,USA,NA,N62TK,TK-01,False,Aviation,Aviation,Approved by Office Director,NA,NA,Serious,0,0,0,1,0,NA,NA,Accident,61.403378,-148.59547,TUNDRAIR,KING,Airplane,NA,NA,True,1,NA,False,Personal,091,Destroyed,Visual (VMC),On File,Maneuvering,Ongoing,False,Approved by Office Director,NA,NA,5/6/2026,6-5-2026
ANC26LA038,Accident,202947,2026-05-05,Salcha,AK,USA,NA,N67RF,FM-80,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,64.37,-143.91,TEXTRON AVIATION INC,B300C,Airplane,NA,NA,False,2,NA,False,Public aircraft - federal,PUBU,Substantial,NA,NATIONAL OCEANIC & ATMOSPHERIC ADMINISTRATION,Enroute,Ongoing,False,Approved by Office Director,NA,NA,5/5/2026,5-5-2026
ANC26LA040,Accident,202972,2026-05-08,Anchorage,AK,USA,NA,N115U,33567,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,61.196272,-150.00196,DOUGLAS,DC3C,Airplane,ANC,Anchorage International Airport,False,2,NA,False,Business,135,Substantial,Visual (VMC),Desert Air Transport Inc.,Taxi,Ongoing,False,Approved by Office Director,NA,NA,5/8/2026,8-5-2026
ANC26LA041,Accident,203000,2026-05-16,Susitna,AK,USA,NA,N4997M,11-485,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,61.39917,-150.4822,PIPER,PA-11,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Taxi,Ongoing,False,Approved by Office Director,NA,NA,5/16/2026,16-5-2026
ANC26LA042,Accident,203016,2026-05-18,Nenana,AK,USA,NA,N5184H,14-502,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,64.083333,-148.3,PIPER,PA-14,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,Visual (VMC); Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,5/18/2026,18-5-2026
ANC26LA043,Accident,203029,2026-05-19,Tyonek,AK,USA,NA,N9250D,18-6541,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,59.40301,-154.25018,PIPER,PA-18A 150,Airplane,NONE,NA,False,1,NA,False,Business,135,Substantial,Visual (VMC),"Alaska Skies Air Taxi, LLC",Takeoff,Ongoing,False,Approved by Office Director,NA,NA,5/19/2026,19-5-2026
ANC26LA045,Accident,203099,2026-05-28,Bethel,AK,USA,NA,N2526D,20678,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,60.779109,-161.83721,CESSNA,170B,Airplane,BET,BETHEL,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Landing,Ongoing,False,Approved by Office Director,NA,NA,5/28/2026,28-5-2026
ANC26LA046,Accident,203100,2026-05-31,South Van Horn,AK,USA,NA,N1888A,18-1718,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,64.795732,-147.84243,PIPER,PA-18-125,Airplane,NA,NA,False,1,NA,False,Personal,091,Substantial,NA,ALASKA TAILWHEEL LLC,Landing,Ongoing,False,Approved by Office Director,NA,NA,5/31/2026,31-5-2026
ANC26LA047,Accident,203110,2026-06-02,Salcha,AK,USA,NA,N4162Y,242-77,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,64.542101,-146.83307,BELLANCA,8GCBC,Airplane,AK41,GREG'N SAGE,False,1,NA,False,Personal,091,Substantial,Visual (VMC),GARRELS GREGORY J,Landing,Ongoing,False,Approved by Office Director,NA,NA,6/2/2026,2-6-2026
