NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,TopicMode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,first_bad_date,second_bad_date
WPR26LA060,Accident,202173,2025-12-15,Tracy,CA,USA,NA,N360FV,E-4035,False,Aviation,Aviation,Approved by Office Director,NA,NA,Minor,0,0,1,1,0,NA,NA,Accident,37.692888,-121.40115,BEECHCRAFT CORP,G36,Airplane,TCY,Tracy Municipal,False,1,NA,False,Personal,091,Substantial,Instrument (IMC); Instrument (IMC); Instrument (IMC),On File,Enroute,Ongoing,False,Approved by Office Director,NA,NA,12/15/2025,15-12-2025
WPR26LA065,Accident,202192,2025-12-20,Temecula,CA,USA,NA,N8155S,15061755,False,Aviation,Aviation,Approved by Office Director,2026-05-07,NA,None,0,0,0,0,0,"The pilot’s inadequate preflight inspection and fuel planning, which resulted in a total loss of engine power due to fuel exhaustion.",Personnel issues - Action/decision - Info processing/decision - Pilot; Personnel issues - Task performance - Planning/preparation - Pilot; Aircraft - Fluids/misc hardware - Fluids - Fluid level; Personnel issues - Task performance - Inspection - Pilot; Environmental issues - Physical environment - Object/animal/substance - Contributed to outcome,Accident,33.560667,-117.02333,CESSNA,150F,Airplane,NA,NA,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Standing; Landing; Enroute,Completed,False,Approved by Office Director,NA,NA,12/20/2025,20-12-2025
WPR26LA066,Accident,202194,2025-12-19,El Cajon,CA,USA,NA,N68830,755667,False,Aviation,Aviation,Approved by Office Director,2026-03-13,NA,None,0,0,0,0,0,The pilot's failure to maintain directional control during the landing roll.,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Task performance - Use of equip/info - Pilot; Environmental issues - Conditions/weather/phenomena - Wind - Effect on operation,Accident,32.827014,-116.96803,BOEING,PT-13D,Airplane,SEE,GILLESPIE FLD,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing,Completed,False,Approved by Office Director,NA,NA,12/19/2025,19-12-2025
WPR26FA069,Accident,202208,2025-12-24,Rio Linda,CA,USA,NA,N2785Q,32-688,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,0,0,0,2,0,NA,NA,Accident,38.666,-121.448,PIPER,PA-32-260,Airplane,L36,RIO LINDA,False,1,NA,False,Personal,091,Substantial,Visual (VMC),On File,Takeoff,Ongoing,False,Approved by Office Director,NA,NA,12/24/2025,24-12-2025
WPR26LA071,Accident,202220,2025-12-23,Lake Elsinore,CA,USA,NA,N272HM,1079,False,Aviation,Aviation,Approved by Office Director,2026-03-13,NA,None,0,0,0,0,0,The pilot’s intentional deployment of the airframe parachute system due to task-saturation in instrument meteorological conditions.,Personnel issues - Psychological - Cognitive limitation - Pilot; Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Not attained/maintained; Personnel issues - Action/decision - Info processing/decision - Pilot,Accident,33.6092,-117.43,CIRRUS DESIGN CORP,SR22T,Airplane,SNA,JOHN WAYNE/ORANGE COUNTY,False,1,Reciprocating,False,Business,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC); Visual (VMC),On File,Enroute; Landing; EmergencyDescent; Enroute,Completed,False,Approved by Office Director,NA,NA,12/23/2025,23-12-2025
WPR26LA073,Accident,202222,2025-12-27,Needles,CA,USA,NA,N2312T,2011 1410,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,34.766347,-114.62327,EVEKTOR - AEROTECHNIK A S,SPORTSTAR MAX,Airplane,EED,NEEDLES,False,1,NA,False,Personal,091,Substantial,Visual (VMC); Visual (VMC); Visual (VMC),ATHENEAIR LLC,Enroute,Ongoing,False,Approved by Office Director,NA,NA,12/27/2025,27-12-2025
DCA26LA097,Accident,202310,2026-01-16,San Bernardino,CA,USA,NA,N443AZ,NA,False,Aviation,Aviation,Approved by Office Director,NA,NA,None,0,0,0,0,0,NA,NA,Accident,NA,NA,BOEING,767-323,NA,NA,NA,False,NA,NA,False,NA,121,NA,NA,Air Transport International,Landing,Ongoing,False,Approved by Office Director,NA,NA,1/16/2026,16-1-2026
DCA26LA115,Accident,202424,2026-02-09,San Francisco,CA,USA,NA,N2188J; N2188J,11955; 11955,False,Aviation,Aviation,Approved by Office Director,2026-07-16,NA,None,0,0,0,0,0,"The first officer’s excessive aft sidestick input combined with decaying airspeed during initiation of a go-around, resulting in an increase in the airplane pitch attitude and subsequent lower fuselage contacting the runway.",Aircraft - Aircraft structures - Fuselage - Damaged/degraded; Personnel issues - Action/decision - Action - Copilot; Personnel issues - Action/decision - Info processing/decision - Copilot,Accident,37.618889,-122.375,AIRBUS; AIRBUS,A321-271NX; A321-271NX,Airplane; Airplane,SFO,SAN FRANCISCO INTL,False,2,Turbo fan; Turbo fan,True,NA,121; 121,Substantial; Substantial,Visual (VMC); Visual (VMC); Visual (VMC); Visual (VMC); Visual (VMC),JETBLUE AIRWAYS CORP; JETBLUE AIRWAYS CORP,Landing,Completed,False,Approved by Office Director,NA,NA,2/9/2026,9-2-2026
WPR26FA103,Accident,202437,2026-02-16,Camarillo,CA,USA,NA,N9735X,21058035,False,Aviation,Aviation,Approved by Office Director,NA,NA,Fatal,1,1,0,2,0,NA,NA,Accident,34.229734,-119.05224,CESSNA,210B,Airplane,CMA,CAMARILLO,False,1,NA,False,Personal,091,Substantial,Visual (VMC),Rudolph Oelofse,Enroute; EmergencyDescent,Ongoing,False,Approved by Office Director,NA,NA,2/16/2026,16-2-2026
WPR26LA106,Accident,202487,2026-02-20,Kneeland,CA,USA,NA,N72904,10098,False,Aviation,Aviation,Approved by Office Director,2026-05-14,NA,None,0,0,0,0,0,The pilot’s failure to maintain airplane control during landing roll on a snow-covered runway.,Personnel issues - Task performance - Use of equip/info - Pilot; Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Effect on equipment; Personnel issues - Action/decision - Info processing/decision - Pilot,Accident,40.718228,-123.92712,CESSNA,120,Airplane,O19,Kneeland,False,1,Reciprocating,False,Personal,091,Substantial,Visual (VMC),On File,Landing; Landing,Completed,False,Approved by Office Director,NA,NA,2/20/2026,20-2-2026
